Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital C,M019,Glipizide 5mg,195
2025-01-13,Hospital C,M019,Glipizide 5mg,133
2025-01-20,Hospital C,M019,Glipizide 5mg,128
2025-01-27,Hospital C,M019,Glipizide 5mg,67
2025-02-03,Hospital C,M019,Glipizide 5mg,85
2025-02-10,Hospital C,M019,Glipizide 5mg,116
2025-02-17,Hospital C,M019,Glipizide 5mg,105
2025-02-24,Hospital C,M019,Glipizide 5mg,72
2025-03-03,Hospital C,M019,Glipizide 5mg,48
2025-03-10,Hospital C,M019,Glipizide 5mg,28
2025-03-17,Hospital C,M019,Glipizide 5mg,20
2025-03-24,Hospital C,M019,Glipizide 5mg,4
2025-03-31,Hospital C,M019,Glipizide 5mg,37
2025-04-07,Hospital C,M019,Glipizide 5mg,32
2025-04-14,Hospital C,M019,Glipizide 5mg,63
2025-04-21,Hospital C,M019,Glipizide 5mg,79
2025-04-28,Hospital C,M019,Glipizide 5mg,137
2025-05-05,Hospital C,M019,Glipizide 5mg,90
2025-05-12,Hospital C,M019,Glipizide 5mg,48
2025-05-19,Hospital C,M019,Glipizide 5mg,76
2025-05-26,Hospital C,M019,Glipizide 5mg,100
2025-06-02,Hospital C,M019,Glipizide 5mg,69
2025-06-09,Hospital C,M019,Glipizide 5mg,27
2025-06-16,Hospital C,M019,Glipizide 5mg,37
2025-06-23,Hospital C,M019,Glipizide 5mg,39
2025-06-30,Hospital C,M019,Glipizide 5mg,29
2025-07-07,Hospital C,M019,Glipizide 5mg,57
2025-07-14,Hospital C,M019,Glipizide 5mg,31
2025-07-21,Hospital C,M019,Glipizide 5mg,110
2025-07-28,Hospital C,M019,Glipizide 5mg,81
2025-08-04,Hospital C,M019,Glipizide 5mg,54
2025-08-11,Hospital C,M019,Glipizide 5mg,66
2025-08-18,Hospital C,M019,Glipizide 5mg,73
2025-08-25,Hospital C,M019,Glipizide 5mg,41
2025-09-01,Hospital C,M019,Glipizide 5mg,48
2025-09-08,Hospital C,M019,Glipizide 5mg,81
2025-09-15,Hospital C,M019,Glipizide 5mg,57
2025-09-22,Hospital C,M019,Glipizide 5mg,156
2025-09-29,Hospital C,M019,Glipizide 5mg,114
2025-10-06,Hospital C,M019,Glipizide 5mg,158
2025-10-13,Hospital C,M019,Glipizide 5mg,156
2025-10-20,Hospital C,M019,Glipizide 5mg,111
2025-10-27,Hospital C,M019,Glipizide 5mg,57
2025-11-03,Hospital C,M019,Glipizide 5mg,38
2025-11-10,Hospital C,M019,Glipizide 5mg,26
2025-11-17,Hospital C,M019,Glipizide 5mg,6
2025-11-24,Hospital C,M019,Glipizide 5mg,65
2025-12-01,Hospital C,M019,Glipizide 5mg,123
2025-12-08,Hospital C,M019,Glipizide 5mg,108
2025-12-15,Hospital C,M019,Glipizide 5mg,62
2025-12-22,Hospital C,M019,Glipizide 5mg,182
2025-12-29,Hospital C,M019,Glipizide 5mg,155
2026-01-05,Hospital C,M019,Glipizide 5mg,137
2026-01-12,Hospital C,M019,Glipizide 5mg,115
2026-01-19,Hospital C,M019,Glipizide 5mg,118
2026-01-26,Hospital C,M019,Glipizide 5mg,78
2026-02-02,Hospital C,M019,Glipizide 5mg,70
2026-02-09,Hospital C,M019,Glipizide 5mg,36
2026-02-16,Hospital C,M019,Glipizide 5mg,53
2026-02-23,Hospital C,M019,Glipizide 5mg,28
2026-03-02,Hospital C,M019,Glipizide 5mg,36
2026-03-09,Hospital C,M019,Glipizide 5mg,190
