Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital C,M020,Simvastatin 20mg,52
2025-01-13,Hospital C,M020,Simvastatin 20mg,33
2025-01-20,Hospital C,M020,Simvastatin 20mg,32
2025-01-27,Hospital C,M020,Simvastatin 20mg,30
2025-02-03,Hospital C,M020,Simvastatin 20mg,28
2025-02-10,Hospital C,M020,Simvastatin 20mg,42
2025-02-17,Hospital C,M020,Simvastatin 20mg,36
2025-02-24,Hospital C,M020,Simvastatin 20mg,35
2025-03-03,Hospital C,M020,Simvastatin 20mg,27
2025-03-10,Hospital C,M020,Simvastatin 20mg,25
2025-03-17,Hospital C,M020,Simvastatin 20mg,15
2025-03-24,Hospital C,M020,Simvastatin 20mg,0
2025-03-31,Hospital C,M020,Simvastatin 20mg,6
2025-04-07,Hospital C,M020,Simvastatin 20mg,11
2025-04-14,Hospital C,M020,Simvastatin 20mg,20
2025-04-21,Hospital C,M020,Simvastatin 20mg,0
2025-04-28,Hospital C,M020,Simvastatin 20mg,29
2025-05-05,Hospital C,M020,Simvastatin 20mg,20
2025-05-12,Hospital C,M020,Simvastatin 20mg,11
2025-05-19,Hospital C,M020,Simvastatin 20mg,13
2025-05-26,Hospital C,M020,Simvastatin 20mg,18
2025-06-02,Hospital C,M020,Simvastatin 20mg,1
2025-06-09,Hospital C,M020,Simvastatin 20mg,3
2025-06-16,Hospital C,M020,Simvastatin 20mg,10
2025-06-23,Hospital C,M020,Simvastatin 20mg,0
2025-06-30,Hospital C,M020,Simvastatin 20mg,0
2025-07-07,Hospital C,M020,Simvastatin 20mg,18
2025-07-14,Hospital C,M020,Simvastatin 20mg,26
2025-07-21,Hospital C,M020,Simvastatin 20mg,19
2025-07-28,Hospital C,M020,Simvastatin 20mg,18
2025-08-04,Hospital C,M020,Simvastatin 20mg,31
2025-08-11,Hospital C,M020,Simvastatin 20mg,25
2025-08-18,Hospital C,M020,Simvastatin 20mg,8
2025-08-25,Hospital C,M020,Simvastatin 20mg,26
2025-09-01,Hospital C,M020,Simvastatin 20mg,19
2025-09-08,Hospital C,M020,Simvastatin 20mg,14
2025-09-15,Hospital C,M020,Simvastatin 20mg,25
2025-09-22,Hospital C,M020,Simvastatin 20mg,77
2025-09-29,Hospital C,M020,Simvastatin 20mg,84
2025-10-06,Hospital C,M020,Simvastatin 20mg,69
2025-10-13,Hospital C,M020,Simvastatin 20mg,84
2025-10-20,Hospital C,M020,Simvastatin 20mg,97
2025-10-27,Hospital C,M020,Simvastatin 20mg,151
2025-11-03,Hospital C,M020,Simvastatin 20mg,191
2025-11-10,Hospital C,M020,Simvastatin 20mg,194
2025-11-17,Hospital C,M020,Simvastatin 20mg,193
2025-11-24,Hospital C,M020,Simvastatin 20mg,194
2025-12-01,Hospital C,M020,Simvastatin 20mg,196
2025-12-08,Hospital C,M020,Simvastatin 20mg,212
2025-12-15,Hospital C,M020,Simvastatin 20mg,205
2025-12-22,Hospital C,M020,Simvastatin 20mg,183
2025-12-29,Hospital C,M020,Simvastatin 20mg,219
2026-01-05,Hospital C,M020,Simvastatin 20mg,238
2026-01-12,Hospital C,M020,Simvastatin 20mg,212
2026-01-19,Hospital C,M020,Simvastatin 20mg,227
2026-01-26,Hospital C,M020,Simvastatin 20mg,172
2026-02-02,Hospital C,M020,Simvastatin 20mg,146
2026-02-09,Hospital C,M020,Simvastatin 20mg,149
2026-02-16,Hospital C,M020,Simvastatin 20mg,133
2026-02-23,Hospital C,M020,Simvastatin 20mg,126
2026-03-02,Hospital C,M020,Simvastatin 20mg,127
2026-03-09,Hospital C,M020,Simvastatin 20mg,13
