Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital D,M001,Paracetamol,181
2025-01-13,Hospital D,M001,Paracetamol,179
2025-01-20,Hospital D,M001,Paracetamol,138
2025-01-27,Hospital D,M001,Paracetamol,143
2025-02-03,Hospital D,M001,Paracetamol,172
2025-02-10,Hospital D,M001,Paracetamol,179
2025-02-17,Hospital D,M001,Paracetamol,166
2025-02-24,Hospital D,M001,Paracetamol,167
2025-03-03,Hospital D,M001,Paracetamol,161
2025-03-10,Hospital D,M001,Paracetamol,165
2025-03-17,Hospital D,M001,Paracetamol,122
2025-03-24,Hospital D,M001,Paracetamol,104
2025-03-31,Hospital D,M001,Paracetamol,53
2025-04-07,Hospital D,M001,Paracetamol,40
2025-04-14,Hospital D,M001,Paracetamol,0
2025-04-21,Hospital D,M001,Paracetamol,24
2025-04-28,Hospital D,M001,Paracetamol,71
2025-05-05,Hospital D,M001,Paracetamol,44
2025-05-12,Hospital D,M001,Paracetamol,48
2025-05-19,Hospital D,M001,Paracetamol,53
2025-05-26,Hospital D,M001,Paracetamol,41
2025-06-02,Hospital D,M001,Paracetamol,7
2025-06-09,Hospital D,M001,Paracetamol,8
2025-06-16,Hospital D,M001,Paracetamol,9
2025-06-23,Hospital D,M001,Paracetamol,18
2025-06-30,Hospital D,M001,Paracetamol,2
2025-07-07,Hospital D,M001,Paracetamol,17
2025-07-14,Hospital D,M001,Paracetamol,49
2025-07-21,Hospital D,M001,Paracetamol,34
2025-07-28,Hospital D,M001,Paracetamol,29
2025-08-04,Hospital D,M001,Paracetamol,39
2025-08-11,Hospital D,M001,Paracetamol,26
2025-08-18,Hospital D,M001,Paracetamol,78
2025-08-25,Hospital D,M001,Paracetamol,26
2025-09-01,Hospital D,M001,Paracetamol,51
2025-09-08,Hospital D,M001,Paracetamol,57
2025-09-15,Hospital D,M001,Paracetamol,50
2025-09-22,Hospital D,M001,Paracetamol,50
2025-09-29,Hospital D,M001,Paracetamol,64
2025-10-06,Hospital D,M001,Paracetamol,61
2025-10-13,Hospital D,M001,Paracetamol,92
2025-10-20,Hospital D,M001,Paracetamol,101
2025-10-27,Hospital D,M001,Paracetamol,93
2025-11-03,Hospital D,M001,Paracetamol,84
2025-11-10,Hospital D,M001,Paracetamol,40
2025-11-17,Hospital D,M001,Paracetamol,38
2025-11-24,Hospital D,M001,Paracetamol,28
2025-12-01,Hospital D,M001,Paracetamol,50
2025-12-08,Hospital D,M001,Paracetamol,14
2025-12-15,Hospital D,M001,Paracetamol,38
2025-12-22,Hospital D,M001,Paracetamol,0
2025-12-29,Hospital D,M001,Paracetamol,33
2026-01-05,Hospital D,M001,Paracetamol,32
2026-01-12,Hospital D,M001,Paracetamol,45
2026-01-19,Hospital D,M001,Paracetamol,53
2026-01-26,Hospital D,M001,Paracetamol,77
2026-02-02,Hospital D,M001,Paracetamol,76
2026-02-09,Hospital D,M001,Paracetamol,74
2026-02-16,Hospital D,M001,Paracetamol,60
2026-02-23,Hospital D,M001,Paracetamol,49
2026-03-02,Hospital D,M001,Paracetamol,19
2026-03-09,Hospital D,M001,Paracetamol,107
