Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital D,M002,Ibuprofen,68
2025-01-13,Hospital D,M002,Ibuprofen,64
2025-01-20,Hospital D,M002,Ibuprofen,64
2025-01-27,Hospital D,M002,Ibuprofen,52
2025-02-03,Hospital D,M002,Ibuprofen,60
2025-02-10,Hospital D,M002,Ibuprofen,73
2025-02-17,Hospital D,M002,Ibuprofen,49
2025-02-24,Hospital D,M002,Ibuprofen,61
2025-03-03,Hospital D,M002,Ibuprofen,59
2025-03-10,Hospital D,M002,Ibuprofen,67
2025-03-17,Hospital D,M002,Ibuprofen,21
2025-03-24,Hospital D,M002,Ibuprofen,0
2025-03-31,Hospital D,M002,Ibuprofen,7
2025-04-07,Hospital D,M002,Ibuprofen,5
2025-04-14,Hospital D,M002,Ibuprofen,10
2025-04-21,Hospital D,M002,Ibuprofen,11
2025-04-28,Hospital D,M002,Ibuprofen,29
2025-05-05,Hospital D,M002,Ibuprofen,20
2025-05-12,Hospital D,M002,Ibuprofen,17
2025-05-19,Hospital D,M002,Ibuprofen,10
2025-05-26,Hospital D,M002,Ibuprofen,20
2025-06-02,Hospital D,M002,Ibuprofen,21
2025-06-09,Hospital D,M002,Ibuprofen,15
2025-06-16,Hospital D,M002,Ibuprofen,7
2025-06-23,Hospital D,M002,Ibuprofen,15
2025-06-30,Hospital D,M002,Ibuprofen,0
2025-07-07,Hospital D,M002,Ibuprofen,42
2025-07-14,Hospital D,M002,Ibuprofen,32
2025-07-21,Hospital D,M002,Ibuprofen,21
2025-07-28,Hospital D,M002,Ibuprofen,19
2025-08-04,Hospital D,M002,Ibuprofen,37
2025-08-11,Hospital D,M002,Ibuprofen,28
2025-08-18,Hospital D,M002,Ibuprofen,13
2025-08-25,Hospital D,M002,Ibuprofen,10
2025-09-01,Hospital D,M002,Ibuprofen,32
2025-09-08,Hospital D,M002,Ibuprofen,7
2025-09-15,Hospital D,M002,Ibuprofen,7
2025-09-22,Hospital D,M002,Ibuprofen,35
2025-09-29,Hospital D,M002,Ibuprofen,58
2025-10-06,Hospital D,M002,Ibuprofen,38
2025-10-13,Hospital D,M002,Ibuprofen,35
2025-10-20,Hospital D,M002,Ibuprofen,53
2025-10-27,Hospital D,M002,Ibuprofen,73
2025-11-03,Hospital D,M002,Ibuprofen,51
2025-11-10,Hospital D,M002,Ibuprofen,35
2025-11-17,Hospital D,M002,Ibuprofen,20
2025-11-24,Hospital D,M002,Ibuprofen,42
2025-12-01,Hospital D,M002,Ibuprofen,57
2025-12-08,Hospital D,M002,Ibuprofen,43
2025-12-15,Hospital D,M002,Ibuprofen,24
2025-12-22,Hospital D,M002,Ibuprofen,51
2025-12-29,Hospital D,M002,Ibuprofen,46
2026-01-05,Hospital D,M002,Ibuprofen,41
2026-01-12,Hospital D,M002,Ibuprofen,22
2026-01-19,Hospital D,M002,Ibuprofen,30
2026-01-26,Hospital D,M002,Ibuprofen,19
2026-02-02,Hospital D,M002,Ibuprofen,23
2026-02-09,Hospital D,M002,Ibuprofen,30
2026-02-16,Hospital D,M002,Ibuprofen,33
2026-02-23,Hospital D,M002,Ibuprofen,46
2026-03-02,Hospital D,M002,Ibuprofen,54
2026-03-09,Hospital D,M002,Ibuprofen,42
