Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital D,M003,Amoxicillin,40
2025-01-13,Hospital D,M003,Amoxicillin,67
2025-01-20,Hospital D,M003,Amoxicillin,66
2025-01-27,Hospital D,M003,Amoxicillin,55
2025-02-03,Hospital D,M003,Amoxicillin,35
2025-02-10,Hospital D,M003,Amoxicillin,46
2025-02-17,Hospital D,M003,Amoxicillin,60
2025-02-24,Hospital D,M003,Amoxicillin,74
2025-03-03,Hospital D,M003,Amoxicillin,62
2025-03-10,Hospital D,M003,Amoxicillin,58
2025-03-17,Hospital D,M003,Amoxicillin,43
2025-03-24,Hospital D,M003,Amoxicillin,26
2025-03-31,Hospital D,M003,Amoxicillin,3
2025-04-07,Hospital D,M003,Amoxicillin,4
2025-04-14,Hospital D,M003,Amoxicillin,9
2025-04-21,Hospital D,M003,Amoxicillin,18
2025-04-28,Hospital D,M003,Amoxicillin,46
2025-05-05,Hospital D,M003,Amoxicillin,12
2025-05-12,Hospital D,M003,Amoxicillin,11
2025-05-19,Hospital D,M003,Amoxicillin,27
2025-05-26,Hospital D,M003,Amoxicillin,0
2025-06-02,Hospital D,M003,Amoxicillin,9
2025-06-09,Hospital D,M003,Amoxicillin,8
2025-06-16,Hospital D,M003,Amoxicillin,3
2025-06-23,Hospital D,M003,Amoxicillin,9
2025-06-30,Hospital D,M003,Amoxicillin,3
2025-07-07,Hospital D,M003,Amoxicillin,30
2025-07-14,Hospital D,M003,Amoxicillin,29
2025-07-21,Hospital D,M003,Amoxicillin,14
2025-07-28,Hospital D,M003,Amoxicillin,21
2025-08-04,Hospital D,M003,Amoxicillin,24
2025-08-11,Hospital D,M003,Amoxicillin,18
2025-08-18,Hospital D,M003,Amoxicillin,15
2025-08-25,Hospital D,M003,Amoxicillin,30
2025-09-01,Hospital D,M003,Amoxicillin,47
2025-09-08,Hospital D,M003,Amoxicillin,60
2025-09-15,Hospital D,M003,Amoxicillin,51
2025-09-22,Hospital D,M003,Amoxicillin,82
2025-09-29,Hospital D,M003,Amoxicillin,109
2025-10-06,Hospital D,M003,Amoxicillin,121
2025-10-13,Hospital D,M003,Amoxicillin,106
2025-10-20,Hospital D,M003,Amoxicillin,86
2025-10-27,Hospital D,M003,Amoxicillin,77
2025-11-03,Hospital D,M003,Amoxicillin,103
2025-11-10,Hospital D,M003,Amoxicillin,99
2025-11-17,Hospital D,M003,Amoxicillin,66
2025-11-24,Hospital D,M003,Amoxicillin,79
2025-12-01,Hospital D,M003,Amoxicillin,80
2025-12-08,Hospital D,M003,Amoxicillin,57
2025-12-15,Hospital D,M003,Amoxicillin,90
2025-12-22,Hospital D,M003,Amoxicillin,118
2025-12-29,Hospital D,M003,Amoxicillin,104
2026-01-05,Hospital D,M003,Amoxicillin,129
2026-01-12,Hospital D,M003,Amoxicillin,126
2026-01-19,Hospital D,M003,Amoxicillin,121
2026-01-26,Hospital D,M003,Amoxicillin,70
2026-02-02,Hospital D,M003,Amoxicillin,65
2026-02-09,Hospital D,M003,Amoxicillin,26
2026-02-16,Hospital D,M003,Amoxicillin,9
2026-02-23,Hospital D,M003,Amoxicillin,21
2026-03-02,Hospital D,M003,Amoxicillin,39
2026-03-09,Hospital D,M003,Amoxicillin,29
