Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital D,M004,Insulin,181
2025-01-13,Hospital D,M004,Insulin,150
2025-01-20,Hospital D,M004,Insulin,203
2025-01-27,Hospital D,M004,Insulin,279
2025-02-03,Hospital D,M004,Insulin,139
2025-02-10,Hospital D,M004,Insulin,144
2025-02-17,Hospital D,M004,Insulin,148
2025-02-24,Hospital D,M004,Insulin,127
2025-03-03,Hospital D,M004,Insulin,113
2025-03-10,Hospital D,M004,Insulin,124
2025-03-17,Hospital D,M004,Insulin,43
2025-03-24,Hospital D,M004,Insulin,35
2025-03-31,Hospital D,M004,Insulin,1
2025-04-07,Hospital D,M004,Insulin,22
2025-04-14,Hospital D,M004,Insulin,3
2025-04-21,Hospital D,M004,Insulin,38
2025-04-28,Hospital D,M004,Insulin,24
2025-05-05,Hospital D,M004,Insulin,21
2025-05-12,Hospital D,M004,Insulin,16
2025-05-19,Hospital D,M004,Insulin,32
2025-05-26,Hospital D,M004,Insulin,29
2025-06-02,Hospital D,M004,Insulin,15
2025-06-09,Hospital D,M004,Insulin,6
2025-06-16,Hospital D,M004,Insulin,0
2025-06-23,Hospital D,M004,Insulin,20
2025-06-30,Hospital D,M004,Insulin,1
2025-07-07,Hospital D,M004,Insulin,28
2025-07-14,Hospital D,M004,Insulin,75
2025-07-21,Hospital D,M004,Insulin,57
2025-07-28,Hospital D,M004,Insulin,44
2025-08-04,Hospital D,M004,Insulin,67
2025-08-11,Hospital D,M004,Insulin,53
2025-08-18,Hospital D,M004,Insulin,26
2025-08-25,Hospital D,M004,Insulin,39
2025-09-01,Hospital D,M004,Insulin,55
2025-09-08,Hospital D,M004,Insulin,41
2025-09-15,Hospital D,M004,Insulin,52
2025-09-22,Hospital D,M004,Insulin,58
2025-09-29,Hospital D,M004,Insulin,27
2025-10-06,Hospital D,M004,Insulin,27
2025-10-13,Hospital D,M004,Insulin,36
2025-10-20,Hospital D,M004,Insulin,78
2025-10-27,Hospital D,M004,Insulin,80
2025-11-03,Hospital D,M004,Insulin,73
2025-11-10,Hospital D,M004,Insulin,60
2025-11-17,Hospital D,M004,Insulin,39
2025-11-24,Hospital D,M004,Insulin,53
2025-12-01,Hospital D,M004,Insulin,13
2025-12-08,Hospital D,M004,Insulin,36
2025-12-15,Hospital D,M004,Insulin,22
2025-12-22,Hospital D,M004,Insulin,51
2025-12-29,Hospital D,M004,Insulin,48
2026-01-05,Hospital D,M004,Insulin,90
2026-01-12,Hospital D,M004,Insulin,75
2026-01-19,Hospital D,M004,Insulin,117
2026-01-26,Hospital D,M004,Insulin,110
2026-02-02,Hospital D,M004,Insulin,49
2026-02-09,Hospital D,M004,Insulin,72
2026-02-16,Hospital D,M004,Insulin,83
2026-02-23,Hospital D,M004,Insulin,78
2026-03-02,Hospital D,M004,Insulin,87
2026-03-09,Hospital D,M004,Insulin,136
