Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital D,M005,Epinephrine,128
2025-01-13,Hospital D,M005,Epinephrine,151
2025-01-20,Hospital D,M005,Epinephrine,128
2025-01-27,Hospital D,M005,Epinephrine,142
2025-02-03,Hospital D,M005,Epinephrine,115
2025-02-10,Hospital D,M005,Epinephrine,132
2025-02-17,Hospital D,M005,Epinephrine,137
2025-02-24,Hospital D,M005,Epinephrine,131
2025-03-03,Hospital D,M005,Epinephrine,131
2025-03-10,Hospital D,M005,Epinephrine,130
2025-03-17,Hospital D,M005,Epinephrine,61
2025-03-24,Hospital D,M005,Epinephrine,23
2025-03-31,Hospital D,M005,Epinephrine,47
2025-04-07,Hospital D,M005,Epinephrine,18
2025-04-14,Hospital D,M005,Epinephrine,59
2025-04-21,Hospital D,M005,Epinephrine,5
2025-04-28,Hospital D,M005,Epinephrine,48
2025-05-05,Hospital D,M005,Epinephrine,23
2025-05-12,Hospital D,M005,Epinephrine,63
2025-05-19,Hospital D,M005,Epinephrine,39
2025-05-26,Hospital D,M005,Epinephrine,40
2025-06-02,Hospital D,M005,Epinephrine,9
2025-06-09,Hospital D,M005,Epinephrine,4
2025-06-16,Hospital D,M005,Epinephrine,9
2025-06-23,Hospital D,M005,Epinephrine,7
2025-06-30,Hospital D,M005,Epinephrine,10
2025-07-07,Hospital D,M005,Epinephrine,53
2025-07-14,Hospital D,M005,Epinephrine,24
2025-07-21,Hospital D,M005,Epinephrine,71
2025-07-28,Hospital D,M005,Epinephrine,55
2025-08-04,Hospital D,M005,Epinephrine,48
2025-08-11,Hospital D,M005,Epinephrine,55
2025-08-18,Hospital D,M005,Epinephrine,48
2025-08-25,Hospital D,M005,Epinephrine,50
2025-09-01,Hospital D,M005,Epinephrine,49
2025-09-08,Hospital D,M005,Epinephrine,34
2025-09-15,Hospital D,M005,Epinephrine,45
2025-09-22,Hospital D,M005,Epinephrine,44
2025-09-29,Hospital D,M005,Epinephrine,67
2025-10-06,Hospital D,M005,Epinephrine,67
2025-10-13,Hospital D,M005,Epinephrine,54
2025-10-20,Hospital D,M005,Epinephrine,46
2025-10-27,Hospital D,M005,Epinephrine,48
2025-11-03,Hospital D,M005,Epinephrine,44
2025-11-10,Hospital D,M005,Epinephrine,25
2025-11-17,Hospital D,M005,Epinephrine,12
2025-11-24,Hospital D,M005,Epinephrine,44
2025-12-01,Hospital D,M005,Epinephrine,64
2025-12-08,Hospital D,M005,Epinephrine,53
2025-12-15,Hospital D,M005,Epinephrine,80
2025-12-22,Hospital D,M005,Epinephrine,48
2025-12-29,Hospital D,M005,Epinephrine,25
2026-01-05,Hospital D,M005,Epinephrine,55
2026-01-12,Hospital D,M005,Epinephrine,51
2026-01-19,Hospital D,M005,Epinephrine,80
2026-01-26,Hospital D,M005,Epinephrine,78
2026-02-02,Hospital D,M005,Epinephrine,53
2026-02-09,Hospital D,M005,Epinephrine,55
2026-02-16,Hospital D,M005,Epinephrine,39
2026-02-23,Hospital D,M005,Epinephrine,39
2026-03-02,Hospital D,M005,Epinephrine,55
2026-03-09,Hospital D,M005,Epinephrine,97
