Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital D,M006,Salbutamol,34
2025-01-13,Hospital D,M006,Salbutamol,26
2025-01-20,Hospital D,M006,Salbutamol,13
2025-01-27,Hospital D,M006,Salbutamol,15
2025-02-03,Hospital D,M006,Salbutamol,14
2025-02-10,Hospital D,M006,Salbutamol,6
2025-02-17,Hospital D,M006,Salbutamol,10
2025-02-24,Hospital D,M006,Salbutamol,9
2025-03-03,Hospital D,M006,Salbutamol,0
2025-03-10,Hospital D,M006,Salbutamol,0
2025-03-17,Hospital D,M006,Salbutamol,6
2025-03-24,Hospital D,M006,Salbutamol,31
2025-03-31,Hospital D,M006,Salbutamol,14
2025-04-07,Hospital D,M006,Salbutamol,8
2025-04-14,Hospital D,M006,Salbutamol,26
2025-04-21,Hospital D,M006,Salbutamol,7
2025-04-28,Hospital D,M006,Salbutamol,45
2025-05-05,Hospital D,M006,Salbutamol,17
2025-05-12,Hospital D,M006,Salbutamol,8
2025-05-19,Hospital D,M006,Salbutamol,27
2025-05-26,Hospital D,M006,Salbutamol,21
2025-06-02,Hospital D,M006,Salbutamol,11
2025-06-09,Hospital D,M006,Salbutamol,16
2025-06-16,Hospital D,M006,Salbutamol,0
2025-06-23,Hospital D,M006,Salbutamol,10
2025-06-30,Hospital D,M006,Salbutamol,5
2025-07-07,Hospital D,M006,Salbutamol,15
2025-07-14,Hospital D,M006,Salbutamol,32
2025-07-21,Hospital D,M006,Salbutamol,17
2025-07-28,Hospital D,M006,Salbutamol,34
2025-08-04,Hospital D,M006,Salbutamol,21
2025-08-11,Hospital D,M006,Salbutamol,19
2025-08-18,Hospital D,M006,Salbutamol,59
2025-08-25,Hospital D,M006,Salbutamol,65
2025-09-01,Hospital D,M006,Salbutamol,52
2025-09-08,Hospital D,M006,Salbutamol,15
2025-09-15,Hospital D,M006,Salbutamol,11
2025-09-22,Hospital D,M006,Salbutamol,18
2025-09-29,Hospital D,M006,Salbutamol,1
2025-10-06,Hospital D,M006,Salbutamol,18
2025-10-13,Hospital D,M006,Salbutamol,16
2025-10-20,Hospital D,M006,Salbutamol,19
2025-10-27,Hospital D,M006,Salbutamol,35
2025-11-03,Hospital D,M006,Salbutamol,88
2025-11-10,Hospital D,M006,Salbutamol,78
2025-11-17,Hospital D,M006,Salbutamol,75
2025-11-24,Hospital D,M006,Salbutamol,77
2025-12-01,Hospital D,M006,Salbutamol,69
2025-12-08,Hospital D,M006,Salbutamol,55
2025-12-15,Hospital D,M006,Salbutamol,32
2025-12-22,Hospital D,M006,Salbutamol,21
2025-12-29,Hospital D,M006,Salbutamol,22
2026-01-05,Hospital D,M006,Salbutamol,16
2026-01-12,Hospital D,M006,Salbutamol,29
2026-01-19,Hospital D,M006,Salbutamol,12
2026-01-26,Hospital D,M006,Salbutamol,12
2026-02-02,Hospital D,M006,Salbutamol,0
2026-02-09,Hospital D,M006,Salbutamol,0
2026-02-16,Hospital D,M006,Salbutamol,0
2026-02-23,Hospital D,M006,Salbutamol,0
2026-03-02,Hospital D,M006,Salbutamol,0
2026-03-09,Hospital D,M006,Salbutamol,23
