Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital D,M008,Aspirin,130
2025-01-13,Hospital D,M008,Aspirin,117
2025-01-20,Hospital D,M008,Aspirin,63
2025-01-27,Hospital D,M008,Aspirin,121
2025-02-03,Hospital D,M008,Aspirin,117
2025-02-10,Hospital D,M008,Aspirin,112
2025-02-17,Hospital D,M008,Aspirin,127
2025-02-24,Hospital D,M008,Aspirin,132
2025-03-03,Hospital D,M008,Aspirin,126
2025-03-10,Hospital D,M008,Aspirin,68
2025-03-17,Hospital D,M008,Aspirin,66
2025-03-24,Hospital D,M008,Aspirin,47
2025-03-31,Hospital D,M008,Aspirin,18
2025-04-07,Hospital D,M008,Aspirin,9
2025-04-14,Hospital D,M008,Aspirin,3
2025-04-21,Hospital D,M008,Aspirin,72
2025-04-28,Hospital D,M008,Aspirin,64
2025-05-05,Hospital D,M008,Aspirin,33
2025-05-12,Hospital D,M008,Aspirin,83
2025-05-19,Hospital D,M008,Aspirin,29
2025-05-26,Hospital D,M008,Aspirin,50
2025-06-02,Hospital D,M008,Aspirin,46
2025-06-09,Hospital D,M008,Aspirin,44
2025-06-16,Hospital D,M008,Aspirin,36
2025-06-23,Hospital D,M008,Aspirin,26
2025-06-30,Hospital D,M008,Aspirin,15
2025-07-07,Hospital D,M008,Aspirin,12
2025-07-14,Hospital D,M008,Aspirin,44
2025-07-21,Hospital D,M008,Aspirin,119
2025-07-28,Hospital D,M008,Aspirin,150
2025-08-04,Hospital D,M008,Aspirin,160
2025-08-11,Hospital D,M008,Aspirin,167
2025-08-18,Hospital D,M008,Aspirin,81
2025-08-25,Hospital D,M008,Aspirin,61
2025-09-01,Hospital D,M008,Aspirin,40
2025-09-08,Hospital D,M008,Aspirin,42
2025-09-15,Hospital D,M008,Aspirin,43
2025-09-22,Hospital D,M008,Aspirin,45
2025-09-29,Hospital D,M008,Aspirin,69
2025-10-06,Hospital D,M008,Aspirin,41
2025-10-13,Hospital D,M008,Aspirin,46
2025-10-20,Hospital D,M008,Aspirin,182
2025-10-27,Hospital D,M008,Aspirin,185
2025-11-03,Hospital D,M008,Aspirin,188
2025-11-10,Hospital D,M008,Aspirin,102
2025-11-17,Hospital D,M008,Aspirin,60
2025-11-24,Hospital D,M008,Aspirin,58
2025-12-01,Hospital D,M008,Aspirin,63
2025-12-08,Hospital D,M008,Aspirin,68
2025-12-15,Hospital D,M008,Aspirin,69
2025-12-22,Hospital D,M008,Aspirin,20
2025-12-29,Hospital D,M008,Aspirin,106
2026-01-05,Hospital D,M008,Aspirin,99
2026-01-12,Hospital D,M008,Aspirin,85
2026-01-19,Hospital D,M008,Aspirin,66
2026-01-26,Hospital D,M008,Aspirin,107
2026-02-02,Hospital D,M008,Aspirin,115
2026-02-09,Hospital D,M008,Aspirin,117
2026-02-16,Hospital D,M008,Aspirin,94
2026-02-23,Hospital D,M008,Aspirin,120
2026-03-02,Hospital D,M008,Aspirin,113
2026-03-09,Hospital D,M008,Aspirin,121
