Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital D,M009,Metformin,29
2025-01-13,Hospital D,M009,Metformin,25
2025-01-20,Hospital D,M009,Metformin,13
2025-01-27,Hospital D,M009,Metformin,41
2025-02-03,Hospital D,M009,Metformin,18
2025-02-10,Hospital D,M009,Metformin,6
2025-02-17,Hospital D,M009,Metformin,5
2025-02-24,Hospital D,M009,Metformin,12
2025-03-03,Hospital D,M009,Metformin,3
2025-03-10,Hospital D,M009,Metformin,6
2025-03-17,Hospital D,M009,Metformin,17
2025-03-24,Hospital D,M009,Metformin,0
2025-03-31,Hospital D,M009,Metformin,8
2025-04-07,Hospital D,M009,Metformin,13
2025-04-14,Hospital D,M009,Metformin,2
2025-04-21,Hospital D,M009,Metformin,41
2025-04-28,Hospital D,M009,Metformin,27
2025-05-05,Hospital D,M009,Metformin,14
2025-05-12,Hospital D,M009,Metformin,20
2025-05-19,Hospital D,M009,Metformin,18
2025-05-26,Hospital D,M009,Metformin,29
2025-06-02,Hospital D,M009,Metformin,11
2025-06-09,Hospital D,M009,Metformin,0
2025-06-16,Hospital D,M009,Metformin,11
2025-06-23,Hospital D,M009,Metformin,11
2025-06-30,Hospital D,M009,Metformin,3
2025-07-07,Hospital D,M009,Metformin,14
2025-07-14,Hospital D,M009,Metformin,30
2025-07-21,Hospital D,M009,Metformin,25
2025-07-28,Hospital D,M009,Metformin,31
2025-08-04,Hospital D,M009,Metformin,54
2025-08-11,Hospital D,M009,Metformin,55
2025-08-18,Hospital D,M009,Metformin,39
2025-08-25,Hospital D,M009,Metformin,43
2025-09-01,Hospital D,M009,Metformin,44
2025-09-08,Hospital D,M009,Metformin,35
2025-09-15,Hospital D,M009,Metformin,19
2025-09-22,Hospital D,M009,Metformin,35
2025-09-29,Hospital D,M009,Metformin,23
2025-10-06,Hospital D,M009,Metformin,34
2025-10-13,Hospital D,M009,Metformin,44
2025-10-20,Hospital D,M009,Metformin,27
2025-10-27,Hospital D,M009,Metformin,63
2025-11-03,Hospital D,M009,Metformin,59
2025-11-10,Hospital D,M009,Metformin,31
2025-11-17,Hospital D,M009,Metformin,9
2025-11-24,Hospital D,M009,Metformin,29
2025-12-01,Hospital D,M009,Metformin,25
2025-12-08,Hospital D,M009,Metformin,32
2025-12-15,Hospital D,M009,Metformin,40
2025-12-22,Hospital D,M009,Metformin,44
2025-12-29,Hospital D,M009,Metformin,41
2026-01-05,Hospital D,M009,Metformin,10
2026-01-12,Hospital D,M009,Metformin,20
2026-01-19,Hospital D,M009,Metformin,36
2026-01-26,Hospital D,M009,Metformin,35
2026-02-02,Hospital D,M009,Metformin,13
2026-02-09,Hospital D,M009,Metformin,23
2026-02-16,Hospital D,M009,Metformin,28
2026-02-23,Hospital D,M009,Metformin,18
2026-03-02,Hospital D,M009,Metformin,23
2026-03-09,Hospital D,M009,Metformin,67
