Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital D,M013,Cephalexin 500mg,93
2025-01-13,Hospital D,M013,Cephalexin 500mg,89
2025-01-20,Hospital D,M013,Cephalexin 500mg,85
2025-01-27,Hospital D,M013,Cephalexin 500mg,145
2025-02-03,Hospital D,M013,Cephalexin 500mg,160
2025-02-10,Hospital D,M013,Cephalexin 500mg,169
2025-02-17,Hospital D,M013,Cephalexin 500mg,178
2025-02-24,Hospital D,M013,Cephalexin 500mg,181
2025-03-03,Hospital D,M013,Cephalexin 500mg,197
2025-03-10,Hospital D,M013,Cephalexin 500mg,196
2025-03-17,Hospital D,M013,Cephalexin 500mg,101
2025-03-24,Hospital D,M013,Cephalexin 500mg,67
2025-03-31,Hospital D,M013,Cephalexin 500mg,54
2025-04-07,Hospital D,M013,Cephalexin 500mg,15
2025-04-14,Hospital D,M013,Cephalexin 500mg,23
2025-04-21,Hospital D,M013,Cephalexin 500mg,27
2025-04-28,Hospital D,M013,Cephalexin 500mg,52
2025-05-05,Hospital D,M013,Cephalexin 500mg,22
2025-05-12,Hospital D,M013,Cephalexin 500mg,32
2025-05-19,Hospital D,M013,Cephalexin 500mg,25
2025-05-26,Hospital D,M013,Cephalexin 500mg,22
2025-06-02,Hospital D,M013,Cephalexin 500mg,0
2025-06-09,Hospital D,M013,Cephalexin 500mg,10
2025-06-16,Hospital D,M013,Cephalexin 500mg,0
2025-06-23,Hospital D,M013,Cephalexin 500mg,7
2025-06-30,Hospital D,M013,Cephalexin 500mg,5
2025-07-07,Hospital D,M013,Cephalexin 500mg,19
2025-07-14,Hospital D,M013,Cephalexin 500mg,16
2025-07-21,Hospital D,M013,Cephalexin 500mg,21
2025-07-28,Hospital D,M013,Cephalexin 500mg,17
2025-08-04,Hospital D,M013,Cephalexin 500mg,26
2025-08-11,Hospital D,M013,Cephalexin 500mg,13
2025-08-18,Hospital D,M013,Cephalexin 500mg,45
2025-08-25,Hospital D,M013,Cephalexin 500mg,24
2025-09-01,Hospital D,M013,Cephalexin 500mg,27
2025-09-08,Hospital D,M013,Cephalexin 500mg,22
2025-09-15,Hospital D,M013,Cephalexin 500mg,24
2025-09-22,Hospital D,M013,Cephalexin 500mg,29
2025-09-29,Hospital D,M013,Cephalexin 500mg,36
2025-10-06,Hospital D,M013,Cephalexin 500mg,23
2025-10-13,Hospital D,M013,Cephalexin 500mg,45
2025-10-20,Hospital D,M013,Cephalexin 500mg,27
2025-10-27,Hospital D,M013,Cephalexin 500mg,38
2025-11-03,Hospital D,M013,Cephalexin 500mg,37
2025-11-10,Hospital D,M013,Cephalexin 500mg,61
2025-11-17,Hospital D,M013,Cephalexin 500mg,22
2025-11-24,Hospital D,M013,Cephalexin 500mg,32
2025-12-01,Hospital D,M013,Cephalexin 500mg,26
2025-12-08,Hospital D,M013,Cephalexin 500mg,28
2025-12-15,Hospital D,M013,Cephalexin 500mg,18
2025-12-22,Hospital D,M013,Cephalexin 500mg,46
2025-12-29,Hospital D,M013,Cephalexin 500mg,89
2026-01-05,Hospital D,M013,Cephalexin 500mg,34
2026-01-12,Hospital D,M013,Cephalexin 500mg,23
2026-01-19,Hospital D,M013,Cephalexin 500mg,41
2026-01-26,Hospital D,M013,Cephalexin 500mg,49
2026-02-02,Hospital D,M013,Cephalexin 500mg,26
2026-02-09,Hospital D,M013,Cephalexin 500mg,16
2026-02-16,Hospital D,M013,Cephalexin 500mg,19
2026-02-23,Hospital D,M013,Cephalexin 500mg,31
2026-03-02,Hospital D,M013,Cephalexin 500mg,33
2026-03-09,Hospital D,M013,Cephalexin 500mg,42
