Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital D,M014,Insulin Lispro,151
2025-01-13,Hospital D,M014,Insulin Lispro,125
2025-01-20,Hospital D,M014,Insulin Lispro,130
2025-01-27,Hospital D,M014,Insulin Lispro,120
2025-02-03,Hospital D,M014,Insulin Lispro,129
2025-02-10,Hospital D,M014,Insulin Lispro,108
2025-02-17,Hospital D,M014,Insulin Lispro,109
2025-02-24,Hospital D,M014,Insulin Lispro,113
2025-03-03,Hospital D,M014,Insulin Lispro,95
2025-03-10,Hospital D,M014,Insulin Lispro,70
2025-03-17,Hospital D,M014,Insulin Lispro,22
2025-03-24,Hospital D,M014,Insulin Lispro,14
2025-03-31,Hospital D,M014,Insulin Lispro,23
2025-04-07,Hospital D,M014,Insulin Lispro,10
2025-04-14,Hospital D,M014,Insulin Lispro,0
2025-04-21,Hospital D,M014,Insulin Lispro,19
2025-04-28,Hospital D,M014,Insulin Lispro,37
2025-05-05,Hospital D,M014,Insulin Lispro,46
2025-05-12,Hospital D,M014,Insulin Lispro,20
2025-05-19,Hospital D,M014,Insulin Lispro,26
2025-05-26,Hospital D,M014,Insulin Lispro,41
2025-06-02,Hospital D,M014,Insulin Lispro,35
2025-06-09,Hospital D,M014,Insulin Lispro,11
2025-06-16,Hospital D,M014,Insulin Lispro,11
2025-06-23,Hospital D,M014,Insulin Lispro,0
2025-06-30,Hospital D,M014,Insulin Lispro,8
2025-07-07,Hospital D,M014,Insulin Lispro,43
2025-07-14,Hospital D,M014,Insulin Lispro,43
2025-07-21,Hospital D,M014,Insulin Lispro,61
2025-07-28,Hospital D,M014,Insulin Lispro,105
2025-08-04,Hospital D,M014,Insulin Lispro,93
2025-08-11,Hospital D,M014,Insulin Lispro,93
2025-08-18,Hospital D,M014,Insulin Lispro,85
2025-08-25,Hospital D,M014,Insulin Lispro,65
2025-09-01,Hospital D,M014,Insulin Lispro,53
2025-09-08,Hospital D,M014,Insulin Lispro,25
2025-09-15,Hospital D,M014,Insulin Lispro,45
2025-09-22,Hospital D,M014,Insulin Lispro,49
2025-09-29,Hospital D,M014,Insulin Lispro,37
2025-10-06,Hospital D,M014,Insulin Lispro,17
2025-10-13,Hospital D,M014,Insulin Lispro,45
2025-10-20,Hospital D,M014,Insulin Lispro,50
2025-10-27,Hospital D,M014,Insulin Lispro,19
2025-11-03,Hospital D,M014,Insulin Lispro,28
2025-11-10,Hospital D,M014,Insulin Lispro,23
2025-11-17,Hospital D,M014,Insulin Lispro,0
2025-11-24,Hospital D,M014,Insulin Lispro,46
2025-12-01,Hospital D,M014,Insulin Lispro,27
2025-12-08,Hospital D,M014,Insulin Lispro,44
2025-12-15,Hospital D,M014,Insulin Lispro,58
2025-12-22,Hospital D,M014,Insulin Lispro,4
2025-12-29,Hospital D,M014,Insulin Lispro,42
2026-01-05,Hospital D,M014,Insulin Lispro,68
2026-01-12,Hospital D,M014,Insulin Lispro,116
2026-01-19,Hospital D,M014,Insulin Lispro,118
2026-01-26,Hospital D,M014,Insulin Lispro,97
2026-02-02,Hospital D,M014,Insulin Lispro,95
2026-02-09,Hospital D,M014,Insulin Lispro,87
2026-02-16,Hospital D,M014,Insulin Lispro,123
2026-02-23,Hospital D,M014,Insulin Lispro,101
2026-03-02,Hospital D,M014,Insulin Lispro,125
2026-03-09,Hospital D,M014,Insulin Lispro,163
