Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital D,M015,Norepinephrine,58
2025-01-13,Hospital D,M015,Norepinephrine,44
2025-01-20,Hospital D,M015,Norepinephrine,45
2025-01-27,Hospital D,M015,Norepinephrine,18
2025-02-03,Hospital D,M015,Norepinephrine,22
2025-02-10,Hospital D,M015,Norepinephrine,49
2025-02-17,Hospital D,M015,Norepinephrine,35
2025-02-24,Hospital D,M015,Norepinephrine,27
2025-03-03,Hospital D,M015,Norepinephrine,11
2025-03-10,Hospital D,M015,Norepinephrine,31
2025-03-17,Hospital D,M015,Norepinephrine,38
2025-03-24,Hospital D,M015,Norepinephrine,0
2025-03-31,Hospital D,M015,Norepinephrine,30
2025-04-07,Hospital D,M015,Norepinephrine,0
2025-04-14,Hospital D,M015,Norepinephrine,8
2025-04-21,Hospital D,M015,Norepinephrine,51
2025-04-28,Hospital D,M015,Norepinephrine,109
2025-05-05,Hospital D,M015,Norepinephrine,85
2025-05-12,Hospital D,M015,Norepinephrine,43
2025-05-19,Hospital D,M015,Norepinephrine,57
2025-05-26,Hospital D,M015,Norepinephrine,28
2025-06-02,Hospital D,M015,Norepinephrine,33
2025-06-09,Hospital D,M015,Norepinephrine,11
2025-06-16,Hospital D,M015,Norepinephrine,10
2025-06-23,Hospital D,M015,Norepinephrine,4
2025-06-30,Hospital D,M015,Norepinephrine,11
2025-07-07,Hospital D,M015,Norepinephrine,54
2025-07-14,Hospital D,M015,Norepinephrine,58
2025-07-21,Hospital D,M015,Norepinephrine,46
2025-07-28,Hospital D,M015,Norepinephrine,34
2025-08-04,Hospital D,M015,Norepinephrine,16
2025-08-11,Hospital D,M015,Norepinephrine,54
2025-08-18,Hospital D,M015,Norepinephrine,44
2025-08-25,Hospital D,M015,Norepinephrine,26
2025-09-01,Hospital D,M015,Norepinephrine,56
2025-09-08,Hospital D,M015,Norepinephrine,41
2025-09-15,Hospital D,M015,Norepinephrine,47
2025-09-22,Hospital D,M015,Norepinephrine,46
2025-09-29,Hospital D,M015,Norepinephrine,56
2025-10-06,Hospital D,M015,Norepinephrine,40
2025-10-13,Hospital D,M015,Norepinephrine,23
2025-10-20,Hospital D,M015,Norepinephrine,5
2025-10-27,Hospital D,M015,Norepinephrine,67
2025-11-03,Hospital D,M015,Norepinephrine,60
2025-11-10,Hospital D,M015,Norepinephrine,58
2025-11-17,Hospital D,M015,Norepinephrine,23
2025-11-24,Hospital D,M015,Norepinephrine,70
2025-12-01,Hospital D,M015,Norepinephrine,78
2025-12-08,Hospital D,M015,Norepinephrine,91
2025-12-15,Hospital D,M015,Norepinephrine,78
2025-12-22,Hospital D,M015,Norepinephrine,43
2025-12-29,Hospital D,M015,Norepinephrine,23
2026-01-05,Hospital D,M015,Norepinephrine,30
2026-01-12,Hospital D,M015,Norepinephrine,44
2026-01-19,Hospital D,M015,Norepinephrine,26
2026-01-26,Hospital D,M015,Norepinephrine,32
2026-02-02,Hospital D,M015,Norepinephrine,51
2026-02-09,Hospital D,M015,Norepinephrine,38
2026-02-16,Hospital D,M015,Norepinephrine,5
2026-02-23,Hospital D,M015,Norepinephrine,5
2026-03-02,Hospital D,M015,Norepinephrine,7
2026-03-09,Hospital D,M015,Norepinephrine,101
