Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital D,M017,Fentanyl Patch,78
2025-01-13,Hospital D,M017,Fentanyl Patch,30
2025-01-20,Hospital D,M017,Fentanyl Patch,57
2025-01-27,Hospital D,M017,Fentanyl Patch,50
2025-02-03,Hospital D,M017,Fentanyl Patch,53
2025-02-10,Hospital D,M017,Fentanyl Patch,70
2025-02-17,Hospital D,M017,Fentanyl Patch,55
2025-02-24,Hospital D,M017,Fentanyl Patch,61
2025-03-03,Hospital D,M017,Fentanyl Patch,53
2025-03-10,Hospital D,M017,Fentanyl Patch,61
2025-03-17,Hospital D,M017,Fentanyl Patch,31
2025-03-24,Hospital D,M017,Fentanyl Patch,13
2025-03-31,Hospital D,M017,Fentanyl Patch,21
2025-04-07,Hospital D,M017,Fentanyl Patch,0
2025-04-14,Hospital D,M017,Fentanyl Patch,16
2025-04-21,Hospital D,M017,Fentanyl Patch,30
2025-04-28,Hospital D,M017,Fentanyl Patch,5
2025-05-05,Hospital D,M017,Fentanyl Patch,8
2025-05-12,Hospital D,M017,Fentanyl Patch,31
2025-05-19,Hospital D,M017,Fentanyl Patch,17
2025-05-26,Hospital D,M017,Fentanyl Patch,37
2025-06-02,Hospital D,M017,Fentanyl Patch,4
2025-06-09,Hospital D,M017,Fentanyl Patch,11
2025-06-16,Hospital D,M017,Fentanyl Patch,0
2025-06-23,Hospital D,M017,Fentanyl Patch,1
2025-06-30,Hospital D,M017,Fentanyl Patch,0
2025-07-07,Hospital D,M017,Fentanyl Patch,10
2025-07-14,Hospital D,M017,Fentanyl Patch,14
2025-07-21,Hospital D,M017,Fentanyl Patch,18
2025-07-28,Hospital D,M017,Fentanyl Patch,27
2025-08-04,Hospital D,M017,Fentanyl Patch,36
2025-08-11,Hospital D,M017,Fentanyl Patch,13
2025-08-18,Hospital D,M017,Fentanyl Patch,30
2025-08-25,Hospital D,M017,Fentanyl Patch,59
2025-09-01,Hospital D,M017,Fentanyl Patch,62
2025-09-08,Hospital D,M017,Fentanyl Patch,58
2025-09-15,Hospital D,M017,Fentanyl Patch,32
2025-09-22,Hospital D,M017,Fentanyl Patch,13
2025-09-29,Hospital D,M017,Fentanyl Patch,20
2025-10-06,Hospital D,M017,Fentanyl Patch,30
2025-10-13,Hospital D,M017,Fentanyl Patch,56
2025-10-20,Hospital D,M017,Fentanyl Patch,37
2025-10-27,Hospital D,M017,Fentanyl Patch,43
2025-11-03,Hospital D,M017,Fentanyl Patch,22
2025-11-10,Hospital D,M017,Fentanyl Patch,22
2025-11-17,Hospital D,M017,Fentanyl Patch,10
2025-11-24,Hospital D,M017,Fentanyl Patch,13
2025-12-01,Hospital D,M017,Fentanyl Patch,23
2025-12-08,Hospital D,M017,Fentanyl Patch,25
2025-12-15,Hospital D,M017,Fentanyl Patch,3
2025-12-22,Hospital D,M017,Fentanyl Patch,10
2025-12-29,Hospital D,M017,Fentanyl Patch,0
2026-01-05,Hospital D,M017,Fentanyl Patch,14
2026-01-12,Hospital D,M017,Fentanyl Patch,11
2026-01-19,Hospital D,M017,Fentanyl Patch,1
2026-01-26,Hospital D,M017,Fentanyl Patch,26
2026-02-02,Hospital D,M017,Fentanyl Patch,0
2026-02-09,Hospital D,M017,Fentanyl Patch,0
2026-02-16,Hospital D,M017,Fentanyl Patch,0
2026-02-23,Hospital D,M017,Fentanyl Patch,0
2026-03-02,Hospital D,M017,Fentanyl Patch,0
2026-03-09,Hospital D,M017,Fentanyl Patch,20
