Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital D,M018,Clopidogrel 75mg,185
2025-01-13,Hospital D,M018,Clopidogrel 75mg,162
2025-01-20,Hospital D,M018,Clopidogrel 75mg,158
2025-01-27,Hospital D,M018,Clopidogrel 75mg,306
2025-02-03,Hospital D,M018,Clopidogrel 75mg,301
2025-02-10,Hospital D,M018,Clopidogrel 75mg,289
2025-02-17,Hospital D,M018,Clopidogrel 75mg,312
2025-02-24,Hospital D,M018,Clopidogrel 75mg,283
2025-03-03,Hospital D,M018,Clopidogrel 75mg,111
2025-03-10,Hospital D,M018,Clopidogrel 75mg,57
2025-03-17,Hospital D,M018,Clopidogrel 75mg,26
2025-03-24,Hospital D,M018,Clopidogrel 75mg,41
2025-03-31,Hospital D,M018,Clopidogrel 75mg,38
2025-04-07,Hospital D,M018,Clopidogrel 75mg,49
2025-04-14,Hospital D,M018,Clopidogrel 75mg,70
2025-04-21,Hospital D,M018,Clopidogrel 75mg,10
2025-04-28,Hospital D,M018,Clopidogrel 75mg,91
2025-05-05,Hospital D,M018,Clopidogrel 75mg,71
2025-05-12,Hospital D,M018,Clopidogrel 75mg,34
2025-05-19,Hospital D,M018,Clopidogrel 75mg,51
2025-05-26,Hospital D,M018,Clopidogrel 75mg,116
2025-06-02,Hospital D,M018,Clopidogrel 75mg,87
2025-06-09,Hospital D,M018,Clopidogrel 75mg,50
2025-06-16,Hospital D,M018,Clopidogrel 75mg,31
2025-06-23,Hospital D,M018,Clopidogrel 75mg,32
2025-06-30,Hospital D,M018,Clopidogrel 75mg,36
2025-07-07,Hospital D,M018,Clopidogrel 75mg,127
2025-07-14,Hospital D,M018,Clopidogrel 75mg,100
2025-07-21,Hospital D,M018,Clopidogrel 75mg,86
2025-07-28,Hospital D,M018,Clopidogrel 75mg,56
2025-08-04,Hospital D,M018,Clopidogrel 75mg,101
2025-08-11,Hospital D,M018,Clopidogrel 75mg,59
2025-08-18,Hospital D,M018,Clopidogrel 75mg,148
2025-08-25,Hospital D,M018,Clopidogrel 75mg,194
2025-09-01,Hospital D,M018,Clopidogrel 75mg,186
2025-09-08,Hospital D,M018,Clopidogrel 75mg,166
2025-09-15,Hospital D,M018,Clopidogrel 75mg,260
2025-09-22,Hospital D,M018,Clopidogrel 75mg,206
2025-09-29,Hospital D,M018,Clopidogrel 75mg,205
2025-10-06,Hospital D,M018,Clopidogrel 75mg,137
2025-10-13,Hospital D,M018,Clopidogrel 75mg,191
2025-10-20,Hospital D,M018,Clopidogrel 75mg,196
2025-10-27,Hospital D,M018,Clopidogrel 75mg,202
2025-11-03,Hospital D,M018,Clopidogrel 75mg,58
2025-11-10,Hospital D,M018,Clopidogrel 75mg,42
2025-11-17,Hospital D,M018,Clopidogrel 75mg,40
2025-11-24,Hospital D,M018,Clopidogrel 75mg,108
2025-12-01,Hospital D,M018,Clopidogrel 75mg,83
2025-12-08,Hospital D,M018,Clopidogrel 75mg,106
2025-12-15,Hospital D,M018,Clopidogrel 75mg,44
2025-12-22,Hospital D,M018,Clopidogrel 75mg,79
2025-12-29,Hospital D,M018,Clopidogrel 75mg,61
2026-01-05,Hospital D,M018,Clopidogrel 75mg,95
2026-01-12,Hospital D,M018,Clopidogrel 75mg,72
2026-01-19,Hospital D,M018,Clopidogrel 75mg,101
2026-01-26,Hospital D,M018,Clopidogrel 75mg,155
2026-02-02,Hospital D,M018,Clopidogrel 75mg,128
2026-02-09,Hospital D,M018,Clopidogrel 75mg,101
2026-02-16,Hospital D,M018,Clopidogrel 75mg,46
2026-02-23,Hospital D,M018,Clopidogrel 75mg,25
2026-03-02,Hospital D,M018,Clopidogrel 75mg,28
2026-03-09,Hospital D,M018,Clopidogrel 75mg,172
