Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital E,M001,Paracetamol,99
2025-01-13,Hospital E,M001,Paracetamol,129
2025-01-20,Hospital E,M001,Paracetamol,132
2025-01-27,Hospital E,M001,Paracetamol,137
2025-02-03,Hospital E,M001,Paracetamol,148
2025-02-10,Hospital E,M001,Paracetamol,165
2025-02-17,Hospital E,M001,Paracetamol,172
2025-02-24,Hospital E,M001,Paracetamol,178
2025-03-03,Hospital E,M001,Paracetamol,168
2025-03-10,Hospital E,M001,Paracetamol,150
2025-03-17,Hospital E,M001,Paracetamol,50
2025-03-24,Hospital E,M001,Paracetamol,5
2025-03-31,Hospital E,M001,Paracetamol,32
2025-04-07,Hospital E,M001,Paracetamol,24
2025-04-14,Hospital E,M001,Paracetamol,0
2025-04-21,Hospital E,M001,Paracetamol,39
2025-04-28,Hospital E,M001,Paracetamol,23
2025-05-05,Hospital E,M001,Paracetamol,27
2025-05-12,Hospital E,M001,Paracetamol,28
2025-05-19,Hospital E,M001,Paracetamol,35
2025-05-26,Hospital E,M001,Paracetamol,19
2025-06-02,Hospital E,M001,Paracetamol,0
2025-06-09,Hospital E,M001,Paracetamol,3
2025-06-16,Hospital E,M001,Paracetamol,0
2025-06-23,Hospital E,M001,Paracetamol,2
2025-06-30,Hospital E,M001,Paracetamol,0
2025-07-07,Hospital E,M001,Paracetamol,0
2025-07-14,Hospital E,M001,Paracetamol,26
2025-07-21,Hospital E,M001,Paracetamol,39
2025-07-28,Hospital E,M001,Paracetamol,60
2025-08-04,Hospital E,M001,Paracetamol,23
2025-08-11,Hospital E,M001,Paracetamol,27
2025-08-18,Hospital E,M001,Paracetamol,27
2025-08-25,Hospital E,M001,Paracetamol,38
2025-09-01,Hospital E,M001,Paracetamol,48
2025-09-08,Hospital E,M001,Paracetamol,44
2025-09-15,Hospital E,M001,Paracetamol,14
2025-09-22,Hospital E,M001,Paracetamol,48
2025-09-29,Hospital E,M001,Paracetamol,99
2025-10-06,Hospital E,M001,Paracetamol,59
2025-10-13,Hospital E,M001,Paracetamol,60
2025-10-20,Hospital E,M001,Paracetamol,67
2025-10-27,Hospital E,M001,Paracetamol,77
2025-11-03,Hospital E,M001,Paracetamol,138
2025-11-10,Hospital E,M001,Paracetamol,128
2025-11-17,Hospital E,M001,Paracetamol,109
2025-11-24,Hospital E,M001,Paracetamol,128
2025-12-01,Hospital E,M001,Paracetamol,138
2025-12-08,Hospital E,M001,Paracetamol,181
2025-12-15,Hospital E,M001,Paracetamol,168
2025-12-22,Hospital E,M001,Paracetamol,113
2025-12-29,Hospital E,M001,Paracetamol,82
2026-01-05,Hospital E,M001,Paracetamol,72
2026-01-12,Hospital E,M001,Paracetamol,63
2026-01-19,Hospital E,M001,Paracetamol,24
2026-01-26,Hospital E,M001,Paracetamol,66
2026-02-02,Hospital E,M001,Paracetamol,40
2026-02-09,Hospital E,M001,Paracetamol,46
2026-02-16,Hospital E,M001,Paracetamol,40
2026-02-23,Hospital E,M001,Paracetamol,35
2026-03-02,Hospital E,M001,Paracetamol,50
2026-03-09,Hospital E,M001,Paracetamol,95
