Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital E,M002,Ibuprofen,123
2025-01-13,Hospital E,M002,Ibuprofen,149
2025-01-20,Hospital E,M002,Ibuprofen,282
2025-01-27,Hospital E,M002,Ibuprofen,275
2025-02-03,Hospital E,M002,Ibuprofen,266
2025-02-10,Hospital E,M002,Ibuprofen,312
2025-02-17,Hospital E,M002,Ibuprofen,333
2025-02-24,Hospital E,M002,Ibuprofen,331
2025-03-03,Hospital E,M002,Ibuprofen,318
2025-03-10,Hospital E,M002,Ibuprofen,312
2025-03-17,Hospital E,M002,Ibuprofen,123
2025-03-24,Hospital E,M002,Ibuprofen,60
2025-03-31,Hospital E,M002,Ibuprofen,26
2025-04-07,Hospital E,M002,Ibuprofen,50
2025-04-14,Hospital E,M002,Ibuprofen,12
2025-04-21,Hospital E,M002,Ibuprofen,71
2025-04-28,Hospital E,M002,Ibuprofen,50
2025-05-05,Hospital E,M002,Ibuprofen,25
2025-05-12,Hospital E,M002,Ibuprofen,76
2025-05-19,Hospital E,M002,Ibuprofen,51
2025-05-26,Hospital E,M002,Ibuprofen,28
2025-06-02,Hospital E,M002,Ibuprofen,25
2025-06-09,Hospital E,M002,Ibuprofen,14
2025-06-16,Hospital E,M002,Ibuprofen,9
2025-06-23,Hospital E,M002,Ibuprofen,12
2025-06-30,Hospital E,M002,Ibuprofen,5
2025-07-07,Hospital E,M002,Ibuprofen,37
2025-07-14,Hospital E,M002,Ibuprofen,110
2025-07-21,Hospital E,M002,Ibuprofen,141
2025-07-28,Hospital E,M002,Ibuprofen,145
2025-08-04,Hospital E,M002,Ibuprofen,148
2025-08-11,Hospital E,M002,Ibuprofen,137
2025-08-18,Hospital E,M002,Ibuprofen,128
2025-08-25,Hospital E,M002,Ibuprofen,108
2025-09-01,Hospital E,M002,Ibuprofen,126
2025-09-08,Hospital E,M002,Ibuprofen,115
2025-09-15,Hospital E,M002,Ibuprofen,75
2025-09-22,Hospital E,M002,Ibuprofen,68
2025-09-29,Hospital E,M002,Ibuprofen,146
2025-10-06,Hospital E,M002,Ibuprofen,131
2025-10-13,Hospital E,M002,Ibuprofen,218
2025-10-20,Hospital E,M002,Ibuprofen,196
2025-10-27,Hospital E,M002,Ibuprofen,188
2025-11-03,Hospital E,M002,Ibuprofen,186
2025-11-10,Hospital E,M002,Ibuprofen,108
2025-11-17,Hospital E,M002,Ibuprofen,79
2025-11-24,Hospital E,M002,Ibuprofen,56
2025-12-01,Hospital E,M002,Ibuprofen,64
2025-12-08,Hospital E,M002,Ibuprofen,55
2025-12-15,Hospital E,M002,Ibuprofen,53
2025-12-22,Hospital E,M002,Ibuprofen,60
2025-12-29,Hospital E,M002,Ibuprofen,56
2026-01-05,Hospital E,M002,Ibuprofen,106
2026-01-12,Hospital E,M002,Ibuprofen,91
2026-01-19,Hospital E,M002,Ibuprofen,76
2026-01-26,Hospital E,M002,Ibuprofen,165
2026-02-02,Hospital E,M002,Ibuprofen,156
2026-02-09,Hospital E,M002,Ibuprofen,156
2026-02-16,Hospital E,M002,Ibuprofen,154
2026-02-23,Hospital E,M002,Ibuprofen,103
2026-03-02,Hospital E,M002,Ibuprofen,118
2026-03-09,Hospital E,M002,Ibuprofen,109
