Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital E,M003,Amoxicillin,93
2025-01-13,Hospital E,M003,Amoxicillin,97
2025-01-20,Hospital E,M003,Amoxicillin,91
2025-01-27,Hospital E,M003,Amoxicillin,94
2025-02-03,Hospital E,M003,Amoxicillin,94
2025-02-10,Hospital E,M003,Amoxicillin,111
2025-02-17,Hospital E,M003,Amoxicillin,124
2025-02-24,Hospital E,M003,Amoxicillin,119
2025-03-03,Hospital E,M003,Amoxicillin,100
2025-03-10,Hospital E,M003,Amoxicillin,124
2025-03-17,Hospital E,M003,Amoxicillin,75
2025-03-24,Hospital E,M003,Amoxicillin,41
2025-03-31,Hospital E,M003,Amoxicillin,63
2025-04-07,Hospital E,M003,Amoxicillin,22
2025-04-14,Hospital E,M003,Amoxicillin,42
2025-04-21,Hospital E,M003,Amoxicillin,56
2025-04-28,Hospital E,M003,Amoxicillin,130
2025-05-05,Hospital E,M003,Amoxicillin,41
2025-05-12,Hospital E,M003,Amoxicillin,85
2025-05-19,Hospital E,M003,Amoxicillin,76
2025-05-26,Hospital E,M003,Amoxicillin,98
2025-06-02,Hospital E,M003,Amoxicillin,18
2025-06-09,Hospital E,M003,Amoxicillin,4
2025-06-16,Hospital E,M003,Amoxicillin,9
2025-06-23,Hospital E,M003,Amoxicillin,0
2025-06-30,Hospital E,M003,Amoxicillin,0
2025-07-07,Hospital E,M003,Amoxicillin,62
2025-07-14,Hospital E,M003,Amoxicillin,67
2025-07-21,Hospital E,M003,Amoxicillin,45
2025-07-28,Hospital E,M003,Amoxicillin,26
2025-08-04,Hospital E,M003,Amoxicillin,41
2025-08-11,Hospital E,M003,Amoxicillin,49
2025-08-18,Hospital E,M003,Amoxicillin,68
2025-08-25,Hospital E,M003,Amoxicillin,73
2025-09-01,Hospital E,M003,Amoxicillin,47
2025-09-08,Hospital E,M003,Amoxicillin,31
2025-09-15,Hospital E,M003,Amoxicillin,16
2025-09-22,Hospital E,M003,Amoxicillin,29
2025-09-29,Hospital E,M003,Amoxicillin,71
2025-10-06,Hospital E,M003,Amoxicillin,39
2025-10-13,Hospital E,M003,Amoxicillin,102
2025-10-20,Hospital E,M003,Amoxicillin,96
2025-10-27,Hospital E,M003,Amoxicillin,105
2025-11-03,Hospital E,M003,Amoxicillin,100
2025-11-10,Hospital E,M003,Amoxicillin,58
2025-11-17,Hospital E,M003,Amoxicillin,43
2025-11-24,Hospital E,M003,Amoxicillin,58
2025-12-01,Hospital E,M003,Amoxicillin,34
2025-12-08,Hospital E,M003,Amoxicillin,19
2025-12-15,Hospital E,M003,Amoxicillin,32
2025-12-22,Hospital E,M003,Amoxicillin,66
2025-12-29,Hospital E,M003,Amoxicillin,74
2026-01-05,Hospital E,M003,Amoxicillin,136
2026-01-12,Hospital E,M003,Amoxicillin,106
2026-01-19,Hospital E,M003,Amoxicillin,112
2026-01-26,Hospital E,M003,Amoxicillin,90
2026-02-02,Hospital E,M003,Amoxicillin,55
2026-02-09,Hospital E,M003,Amoxicillin,28
2026-02-16,Hospital E,M003,Amoxicillin,22
2026-02-23,Hospital E,M003,Amoxicillin,45
2026-03-02,Hospital E,M003,Amoxicillin,28
2026-03-09,Hospital E,M003,Amoxicillin,92
