Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital E,M005,Epinephrine,90
2025-01-13,Hospital E,M005,Epinephrine,83
2025-01-20,Hospital E,M005,Epinephrine,86
2025-01-27,Hospital E,M005,Epinephrine,91
2025-02-03,Hospital E,M005,Epinephrine,25
2025-02-10,Hospital E,M005,Epinephrine,31
2025-02-17,Hospital E,M005,Epinephrine,30
2025-02-24,Hospital E,M005,Epinephrine,17
2025-03-03,Hospital E,M005,Epinephrine,0
2025-03-10,Hospital E,M005,Epinephrine,7
2025-03-17,Hospital E,M005,Epinephrine,13
2025-03-24,Hospital E,M005,Epinephrine,22
2025-03-31,Hospital E,M005,Epinephrine,23
2025-04-07,Hospital E,M005,Epinephrine,5
2025-04-14,Hospital E,M005,Epinephrine,13
2025-04-21,Hospital E,M005,Epinephrine,5
2025-04-28,Hospital E,M005,Epinephrine,64
2025-05-05,Hospital E,M005,Epinephrine,48
2025-05-12,Hospital E,M005,Epinephrine,37
2025-05-19,Hospital E,M005,Epinephrine,47
2025-05-26,Hospital E,M005,Epinephrine,34
2025-06-02,Hospital E,M005,Epinephrine,15
2025-06-09,Hospital E,M005,Epinephrine,18
2025-06-16,Hospital E,M005,Epinephrine,2
2025-06-23,Hospital E,M005,Epinephrine,2
2025-06-30,Hospital E,M005,Epinephrine,14
2025-07-07,Hospital E,M005,Epinephrine,15
2025-07-14,Hospital E,M005,Epinephrine,33
2025-07-21,Hospital E,M005,Epinephrine,13
2025-07-28,Hospital E,M005,Epinephrine,20
2025-08-04,Hospital E,M005,Epinephrine,26
2025-08-11,Hospital E,M005,Epinephrine,35
2025-08-18,Hospital E,M005,Epinephrine,33
2025-08-25,Hospital E,M005,Epinephrine,29
2025-09-01,Hospital E,M005,Epinephrine,41
2025-09-08,Hospital E,M005,Epinephrine,51
2025-09-15,Hospital E,M005,Epinephrine,62
2025-09-22,Hospital E,M005,Epinephrine,25
2025-09-29,Hospital E,M005,Epinephrine,33
2025-10-06,Hospital E,M005,Epinephrine,38
2025-10-13,Hospital E,M005,Epinephrine,33
2025-10-20,Hospital E,M005,Epinephrine,32
2025-10-27,Hospital E,M005,Epinephrine,27
2025-11-03,Hospital E,M005,Epinephrine,76
2025-11-10,Hospital E,M005,Epinephrine,34
2025-11-17,Hospital E,M005,Epinephrine,6
2025-11-24,Hospital E,M005,Epinephrine,22
2025-12-01,Hospital E,M005,Epinephrine,17
2025-12-08,Hospital E,M005,Epinephrine,16
2025-12-15,Hospital E,M005,Epinephrine,21
2025-12-22,Hospital E,M005,Epinephrine,13
2025-12-29,Hospital E,M005,Epinephrine,14
2026-01-05,Hospital E,M005,Epinephrine,51
2026-01-12,Hospital E,M005,Epinephrine,20
2026-01-19,Hospital E,M005,Epinephrine,36
2026-01-26,Hospital E,M005,Epinephrine,28
2026-02-02,Hospital E,M005,Epinephrine,36
2026-02-09,Hospital E,M005,Epinephrine,32
2026-02-16,Hospital E,M005,Epinephrine,51
2026-02-23,Hospital E,M005,Epinephrine,40
2026-03-02,Hospital E,M005,Epinephrine,47
2026-03-09,Hospital E,M005,Epinephrine,76
