Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital E,M006,Salbutamol,237
2025-01-13,Hospital E,M006,Salbutamol,215
2025-01-20,Hospital E,M006,Salbutamol,193
2025-01-27,Hospital E,M006,Salbutamol,203
2025-02-03,Hospital E,M006,Salbutamol,195
2025-02-10,Hospital E,M006,Salbutamol,193
2025-02-17,Hospital E,M006,Salbutamol,207
2025-02-24,Hospital E,M006,Salbutamol,196
2025-03-03,Hospital E,M006,Salbutamol,191
2025-03-10,Hospital E,M006,Salbutamol,182
2025-03-17,Hospital E,M006,Salbutamol,115
2025-03-24,Hospital E,M006,Salbutamol,65
2025-03-31,Hospital E,M006,Salbutamol,18
2025-04-07,Hospital E,M006,Salbutamol,39
2025-04-14,Hospital E,M006,Salbutamol,47
2025-04-21,Hospital E,M006,Salbutamol,66
2025-04-28,Hospital E,M006,Salbutamol,152
2025-05-05,Hospital E,M006,Salbutamol,68
2025-05-12,Hospital E,M006,Salbutamol,66
2025-05-19,Hospital E,M006,Salbutamol,19
2025-05-26,Hospital E,M006,Salbutamol,54
2025-06-02,Hospital E,M006,Salbutamol,48
2025-06-09,Hospital E,M006,Salbutamol,49
2025-06-16,Hospital E,M006,Salbutamol,6
2025-06-23,Hospital E,M006,Salbutamol,11
2025-06-30,Hospital E,M006,Salbutamol,7
2025-07-07,Hospital E,M006,Salbutamol,58
2025-07-14,Hospital E,M006,Salbutamol,17
2025-07-21,Hospital E,M006,Salbutamol,55
2025-07-28,Hospital E,M006,Salbutamol,37
2025-08-04,Hospital E,M006,Salbutamol,87
2025-08-11,Hospital E,M006,Salbutamol,73
2025-08-18,Hospital E,M006,Salbutamol,39
2025-08-25,Hospital E,M006,Salbutamol,63
2025-09-01,Hospital E,M006,Salbutamol,89
2025-09-08,Hospital E,M006,Salbutamol,84
2025-09-15,Hospital E,M006,Salbutamol,108
2025-09-22,Hospital E,M006,Salbutamol,142
2025-09-29,Hospital E,M006,Salbutamol,174
2025-10-06,Hospital E,M006,Salbutamol,171
2025-10-13,Hospital E,M006,Salbutamol,158
2025-10-20,Hospital E,M006,Salbutamol,143
2025-10-27,Hospital E,M006,Salbutamol,140
2025-11-03,Hospital E,M006,Salbutamol,243
2025-11-10,Hospital E,M006,Salbutamol,200
2025-11-17,Hospital E,M006,Salbutamol,149
2025-11-24,Hospital E,M006,Salbutamol,123
2025-12-01,Hospital E,M006,Salbutamol,137
2025-12-08,Hospital E,M006,Salbutamol,92
2025-12-15,Hospital E,M006,Salbutamol,63
2025-12-22,Hospital E,M006,Salbutamol,80
2025-12-29,Hospital E,M006,Salbutamol,60
2026-01-05,Hospital E,M006,Salbutamol,47
2026-01-12,Hospital E,M006,Salbutamol,57
2026-01-19,Hospital E,M006,Salbutamol,60
2026-01-26,Hospital E,M006,Salbutamol,40
2026-02-02,Hospital E,M006,Salbutamol,47
2026-02-09,Hospital E,M006,Salbutamol,81
2026-02-16,Hospital E,M006,Salbutamol,73
2026-02-23,Hospital E,M006,Salbutamol,92
2026-03-02,Hospital E,M006,Salbutamol,68
2026-03-09,Hospital E,M006,Salbutamol,125
