Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital E,M007,Morphine,59
2025-01-13,Hospital E,M007,Morphine,82
2025-01-20,Hospital E,M007,Morphine,131
2025-01-27,Hospital E,M007,Morphine,89
2025-02-03,Hospital E,M007,Morphine,62
2025-02-10,Hospital E,M007,Morphine,56
2025-02-17,Hospital E,M007,Morphine,59
2025-02-24,Hospital E,M007,Morphine,59
2025-03-03,Hospital E,M007,Morphine,60
2025-03-10,Hospital E,M007,Morphine,22
2025-03-17,Hospital E,M007,Morphine,0
2025-03-24,Hospital E,M007,Morphine,25
2025-03-31,Hospital E,M007,Morphine,12
2025-04-07,Hospital E,M007,Morphine,0
2025-04-14,Hospital E,M007,Morphine,0
2025-04-21,Hospital E,M007,Morphine,2
2025-04-28,Hospital E,M007,Morphine,44
2025-05-05,Hospital E,M007,Morphine,50
2025-05-12,Hospital E,M007,Morphine,55
2025-05-19,Hospital E,M007,Morphine,61
2025-05-26,Hospital E,M007,Morphine,72
2025-06-02,Hospital E,M007,Morphine,36
2025-06-09,Hospital E,M007,Morphine,1
2025-06-16,Hospital E,M007,Morphine,6
2025-06-23,Hospital E,M007,Morphine,0
2025-06-30,Hospital E,M007,Morphine,10
2025-07-07,Hospital E,M007,Morphine,36
2025-07-14,Hospital E,M007,Morphine,40
2025-07-21,Hospital E,M007,Morphine,58
2025-07-28,Hospital E,M007,Morphine,91
2025-08-04,Hospital E,M007,Morphine,74
2025-08-11,Hospital E,M007,Morphine,85
2025-08-18,Hospital E,M007,Morphine,92
2025-08-25,Hospital E,M007,Morphine,28
2025-09-01,Hospital E,M007,Morphine,47
2025-09-08,Hospital E,M007,Morphine,43
2025-09-15,Hospital E,M007,Morphine,45
2025-09-22,Hospital E,M007,Morphine,40
2025-09-29,Hospital E,M007,Morphine,53
2025-10-06,Hospital E,M007,Morphine,46
2025-10-13,Hospital E,M007,Morphine,74
2025-10-20,Hospital E,M007,Morphine,106
2025-10-27,Hospital E,M007,Morphine,66
2025-11-03,Hospital E,M007,Morphine,106
2025-11-10,Hospital E,M007,Morphine,84
2025-11-17,Hospital E,M007,Morphine,39
2025-11-24,Hospital E,M007,Morphine,28
2025-12-01,Hospital E,M007,Morphine,25
2025-12-08,Hospital E,M007,Morphine,11
2025-12-15,Hospital E,M007,Morphine,24
2025-12-22,Hospital E,M007,Morphine,27
2025-12-29,Hospital E,M007,Morphine,35
2026-01-05,Hospital E,M007,Morphine,40
2026-01-12,Hospital E,M007,Morphine,67
2026-01-19,Hospital E,M007,Morphine,78
2026-01-26,Hospital E,M007,Morphine,83
2026-02-02,Hospital E,M007,Morphine,63
2026-02-09,Hospital E,M007,Morphine,32
2026-02-16,Hospital E,M007,Morphine,48
2026-02-23,Hospital E,M007,Morphine,50
2026-03-02,Hospital E,M007,Morphine,45
2026-03-09,Hospital E,M007,Morphine,133
