Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital E,M013,Cephalexin 500mg,110
2025-01-13,Hospital E,M013,Cephalexin 500mg,105
2025-01-20,Hospital E,M013,Cephalexin 500mg,102
2025-01-27,Hospital E,M013,Cephalexin 500mg,114
2025-02-03,Hospital E,M013,Cephalexin 500mg,124
2025-02-10,Hospital E,M013,Cephalexin 500mg,131
2025-02-17,Hospital E,M013,Cephalexin 500mg,136
2025-02-24,Hospital E,M013,Cephalexin 500mg,130
2025-03-03,Hospital E,M013,Cephalexin 500mg,91
2025-03-10,Hospital E,M013,Cephalexin 500mg,64
2025-03-17,Hospital E,M013,Cephalexin 500mg,29
2025-03-24,Hospital E,M013,Cephalexin 500mg,2
2025-03-31,Hospital E,M013,Cephalexin 500mg,48
2025-04-07,Hospital E,M013,Cephalexin 500mg,30
2025-04-14,Hospital E,M013,Cephalexin 500mg,33
2025-04-21,Hospital E,M013,Cephalexin 500mg,82
2025-04-28,Hospital E,M013,Cephalexin 500mg,63
2025-05-05,Hospital E,M013,Cephalexin 500mg,34
2025-05-12,Hospital E,M013,Cephalexin 500mg,48
2025-05-19,Hospital E,M013,Cephalexin 500mg,40
2025-05-26,Hospital E,M013,Cephalexin 500mg,27
2025-06-02,Hospital E,M013,Cephalexin 500mg,2
2025-06-09,Hospital E,M013,Cephalexin 500mg,21
2025-06-16,Hospital E,M013,Cephalexin 500mg,16
2025-06-23,Hospital E,M013,Cephalexin 500mg,4
2025-06-30,Hospital E,M013,Cephalexin 500mg,25
2025-07-07,Hospital E,M013,Cephalexin 500mg,72
2025-07-14,Hospital E,M013,Cephalexin 500mg,85
2025-07-21,Hospital E,M013,Cephalexin 500mg,66
2025-07-28,Hospital E,M013,Cephalexin 500mg,58
2025-08-04,Hospital E,M013,Cephalexin 500mg,3
2025-08-11,Hospital E,M013,Cephalexin 500mg,38
2025-08-18,Hospital E,M013,Cephalexin 500mg,56
2025-08-25,Hospital E,M013,Cephalexin 500mg,58
2025-09-01,Hospital E,M013,Cephalexin 500mg,44
2025-09-08,Hospital E,M013,Cephalexin 500mg,49
2025-09-15,Hospital E,M013,Cephalexin 500mg,34
2025-09-22,Hospital E,M013,Cephalexin 500mg,47
2025-09-29,Hospital E,M013,Cephalexin 500mg,43
2025-10-06,Hospital E,M013,Cephalexin 500mg,20
2025-10-13,Hospital E,M013,Cephalexin 500mg,43
2025-10-20,Hospital E,M013,Cephalexin 500mg,49
2025-10-27,Hospital E,M013,Cephalexin 500mg,128
2025-11-03,Hospital E,M013,Cephalexin 500mg,139
2025-11-10,Hospital E,M013,Cephalexin 500mg,142
2025-11-17,Hospital E,M013,Cephalexin 500mg,136
2025-11-24,Hospital E,M013,Cephalexin 500mg,43
2025-12-01,Hospital E,M013,Cephalexin 500mg,39
2025-12-08,Hospital E,M013,Cephalexin 500mg,36
2025-12-15,Hospital E,M013,Cephalexin 500mg,58
2025-12-22,Hospital E,M013,Cephalexin 500mg,30
2025-12-29,Hospital E,M013,Cephalexin 500mg,57
2026-01-05,Hospital E,M013,Cephalexin 500mg,70
2026-01-12,Hospital E,M013,Cephalexin 500mg,77
2026-01-19,Hospital E,M013,Cephalexin 500mg,77
2026-01-26,Hospital E,M013,Cephalexin 500mg,45
2026-02-02,Hospital E,M013,Cephalexin 500mg,27
2026-02-09,Hospital E,M013,Cephalexin 500mg,28
2026-02-16,Hospital E,M013,Cephalexin 500mg,28
2026-02-23,Hospital E,M013,Cephalexin 500mg,36
2026-03-02,Hospital E,M013,Cephalexin 500mg,49
2026-03-09,Hospital E,M013,Cephalexin 500mg,90
