Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital E,M014,Insulin Lispro,21
2025-01-13,Hospital E,M014,Insulin Lispro,30
2025-01-20,Hospital E,M014,Insulin Lispro,23
2025-01-27,Hospital E,M014,Insulin Lispro,61
2025-02-03,Hospital E,M014,Insulin Lispro,56
2025-02-10,Hospital E,M014,Insulin Lispro,76
2025-02-17,Hospital E,M014,Insulin Lispro,86
2025-02-24,Hospital E,M014,Insulin Lispro,72
2025-03-03,Hospital E,M014,Insulin Lispro,83
2025-03-10,Hospital E,M014,Insulin Lispro,78
2025-03-17,Hospital E,M014,Insulin Lispro,38
2025-03-24,Hospital E,M014,Insulin Lispro,14
2025-03-31,Hospital E,M014,Insulin Lispro,25
2025-04-07,Hospital E,M014,Insulin Lispro,11
2025-04-14,Hospital E,M014,Insulin Lispro,8
2025-04-21,Hospital E,M014,Insulin Lispro,8
2025-04-28,Hospital E,M014,Insulin Lispro,24
2025-05-05,Hospital E,M014,Insulin Lispro,4
2025-05-12,Hospital E,M014,Insulin Lispro,12
2025-05-19,Hospital E,M014,Insulin Lispro,21
2025-05-26,Hospital E,M014,Insulin Lispro,14
2025-06-02,Hospital E,M014,Insulin Lispro,0
2025-06-09,Hospital E,M014,Insulin Lispro,5
2025-06-16,Hospital E,M014,Insulin Lispro,12
2025-06-23,Hospital E,M014,Insulin Lispro,22
2025-06-30,Hospital E,M014,Insulin Lispro,32
2025-07-07,Hospital E,M014,Insulin Lispro,23
2025-07-14,Hospital E,M014,Insulin Lispro,60
2025-07-21,Hospital E,M014,Insulin Lispro,64
2025-07-28,Hospital E,M014,Insulin Lispro,57
2025-08-04,Hospital E,M014,Insulin Lispro,54
2025-08-11,Hospital E,M014,Insulin Lispro,73
2025-08-18,Hospital E,M014,Insulin Lispro,46
2025-08-25,Hospital E,M014,Insulin Lispro,33
2025-09-01,Hospital E,M014,Insulin Lispro,36
2025-09-08,Hospital E,M014,Insulin Lispro,32
2025-09-15,Hospital E,M014,Insulin Lispro,34
2025-09-22,Hospital E,M014,Insulin Lispro,0
2025-09-29,Hospital E,M014,Insulin Lispro,3
2025-10-06,Hospital E,M014,Insulin Lispro,13
2025-10-13,Hospital E,M014,Insulin Lispro,14
2025-10-20,Hospital E,M014,Insulin Lispro,8
2025-10-27,Hospital E,M014,Insulin Lispro,38
2025-11-03,Hospital E,M014,Insulin Lispro,14
2025-11-10,Hospital E,M014,Insulin Lispro,10
2025-11-17,Hospital E,M014,Insulin Lispro,12
2025-11-24,Hospital E,M014,Insulin Lispro,16
2025-12-01,Hospital E,M014,Insulin Lispro,23
2025-12-08,Hospital E,M014,Insulin Lispro,7
2025-12-15,Hospital E,M014,Insulin Lispro,23
2025-12-22,Hospital E,M014,Insulin Lispro,7
2025-12-29,Hospital E,M014,Insulin Lispro,4
2026-01-05,Hospital E,M014,Insulin Lispro,31
2026-01-12,Hospital E,M014,Insulin Lispro,0
2026-01-19,Hospital E,M014,Insulin Lispro,0
2026-01-26,Hospital E,M014,Insulin Lispro,0
2026-02-02,Hospital E,M014,Insulin Lispro,0
2026-02-09,Hospital E,M014,Insulin Lispro,0
2026-02-16,Hospital E,M014,Insulin Lispro,0
2026-02-23,Hospital E,M014,Insulin Lispro,0
2026-03-02,Hospital E,M014,Insulin Lispro,0
2026-03-09,Hospital E,M014,Insulin Lispro,1
