Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital E,M016,Terbutaline Inhaler,158
2025-01-13,Hospital E,M016,Terbutaline Inhaler,153
2025-01-20,Hospital E,M016,Terbutaline Inhaler,150
2025-01-27,Hospital E,M016,Terbutaline Inhaler,139
2025-02-03,Hospital E,M016,Terbutaline Inhaler,133
2025-02-10,Hospital E,M016,Terbutaline Inhaler,131
2025-02-17,Hospital E,M016,Terbutaline Inhaler,144
2025-02-24,Hospital E,M016,Terbutaline Inhaler,119
2025-03-03,Hospital E,M016,Terbutaline Inhaler,90
2025-03-10,Hospital E,M016,Terbutaline Inhaler,80
2025-03-17,Hospital E,M016,Terbutaline Inhaler,38
2025-03-24,Hospital E,M016,Terbutaline Inhaler,24
2025-03-31,Hospital E,M016,Terbutaline Inhaler,24
2025-04-07,Hospital E,M016,Terbutaline Inhaler,24
2025-04-14,Hospital E,M016,Terbutaline Inhaler,45
2025-04-21,Hospital E,M016,Terbutaline Inhaler,33
2025-04-28,Hospital E,M016,Terbutaline Inhaler,114
2025-05-05,Hospital E,M016,Terbutaline Inhaler,131
2025-05-12,Hospital E,M016,Terbutaline Inhaler,98
2025-05-19,Hospital E,M016,Terbutaline Inhaler,65
2025-05-26,Hospital E,M016,Terbutaline Inhaler,38
2025-06-02,Hospital E,M016,Terbutaline Inhaler,17
2025-06-09,Hospital E,M016,Terbutaline Inhaler,5
2025-06-16,Hospital E,M016,Terbutaline Inhaler,15
2025-06-23,Hospital E,M016,Terbutaline Inhaler,11
2025-06-30,Hospital E,M016,Terbutaline Inhaler,11
2025-07-07,Hospital E,M016,Terbutaline Inhaler,17
2025-07-14,Hospital E,M016,Terbutaline Inhaler,49
2025-07-21,Hospital E,M016,Terbutaline Inhaler,77
2025-07-28,Hospital E,M016,Terbutaline Inhaler,16
2025-08-04,Hospital E,M016,Terbutaline Inhaler,63
2025-08-11,Hospital E,M016,Terbutaline Inhaler,57
2025-08-18,Hospital E,M016,Terbutaline Inhaler,36
2025-08-25,Hospital E,M016,Terbutaline Inhaler,63
2025-09-01,Hospital E,M016,Terbutaline Inhaler,71
2025-09-08,Hospital E,M016,Terbutaline Inhaler,57
2025-09-15,Hospital E,M016,Terbutaline Inhaler,39
2025-09-22,Hospital E,M016,Terbutaline Inhaler,31
2025-09-29,Hospital E,M016,Terbutaline Inhaler,47
2025-10-06,Hospital E,M016,Terbutaline Inhaler,69
2025-10-13,Hospital E,M016,Terbutaline Inhaler,55
2025-10-20,Hospital E,M016,Terbutaline Inhaler,54
2025-10-27,Hospital E,M016,Terbutaline Inhaler,93
2025-11-03,Hospital E,M016,Terbutaline Inhaler,140
2025-11-10,Hospital E,M016,Terbutaline Inhaler,63
2025-11-17,Hospital E,M016,Terbutaline Inhaler,28
2025-11-24,Hospital E,M016,Terbutaline Inhaler,0
2025-12-01,Hospital E,M016,Terbutaline Inhaler,58
2025-12-08,Hospital E,M016,Terbutaline Inhaler,103
2025-12-15,Hospital E,M016,Terbutaline Inhaler,108
2025-12-22,Hospital E,M016,Terbutaline Inhaler,84
2025-12-29,Hospital E,M016,Terbutaline Inhaler,27
2026-01-05,Hospital E,M016,Terbutaline Inhaler,48
2026-01-12,Hospital E,M016,Terbutaline Inhaler,51
2026-01-19,Hospital E,M016,Terbutaline Inhaler,99
2026-01-26,Hospital E,M016,Terbutaline Inhaler,124
2026-02-02,Hospital E,M016,Terbutaline Inhaler,77
2026-02-09,Hospital E,M016,Terbutaline Inhaler,45
2026-02-16,Hospital E,M016,Terbutaline Inhaler,49
2026-02-23,Hospital E,M016,Terbutaline Inhaler,58
2026-03-02,Hospital E,M016,Terbutaline Inhaler,71
2026-03-09,Hospital E,M016,Terbutaline Inhaler,139
