Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital E,M017,Fentanyl Patch,223
2025-01-13,Hospital E,M017,Fentanyl Patch,216
2025-01-20,Hospital E,M017,Fentanyl Patch,251
2025-01-27,Hospital E,M017,Fentanyl Patch,344
2025-02-03,Hospital E,M017,Fentanyl Patch,341
2025-02-10,Hospital E,M017,Fentanyl Patch,135
2025-02-17,Hospital E,M017,Fentanyl Patch,109
2025-02-24,Hospital E,M017,Fentanyl Patch,103
2025-03-03,Hospital E,M017,Fentanyl Patch,30
2025-03-10,Hospital E,M017,Fentanyl Patch,13
2025-03-17,Hospital E,M017,Fentanyl Patch,14
2025-03-24,Hospital E,M017,Fentanyl Patch,30
2025-03-31,Hospital E,M017,Fentanyl Patch,79
2025-04-07,Hospital E,M017,Fentanyl Patch,42
2025-04-14,Hospital E,M017,Fentanyl Patch,49
2025-04-21,Hospital E,M017,Fentanyl Patch,74
2025-04-28,Hospital E,M017,Fentanyl Patch,57
2025-05-05,Hospital E,M017,Fentanyl Patch,89
2025-05-12,Hospital E,M017,Fentanyl Patch,120
2025-05-19,Hospital E,M017,Fentanyl Patch,135
2025-05-26,Hospital E,M017,Fentanyl Patch,94
2025-06-02,Hospital E,M017,Fentanyl Patch,20
2025-06-09,Hospital E,M017,Fentanyl Patch,25
2025-06-16,Hospital E,M017,Fentanyl Patch,15
2025-06-23,Hospital E,M017,Fentanyl Patch,7
2025-06-30,Hospital E,M017,Fentanyl Patch,3
2025-07-07,Hospital E,M017,Fentanyl Patch,66
2025-07-14,Hospital E,M017,Fentanyl Patch,76
2025-07-21,Hospital E,M017,Fentanyl Patch,24
2025-07-28,Hospital E,M017,Fentanyl Patch,40
2025-08-04,Hospital E,M017,Fentanyl Patch,22
2025-08-11,Hospital E,M017,Fentanyl Patch,52
2025-08-18,Hospital E,M017,Fentanyl Patch,68
2025-08-25,Hospital E,M017,Fentanyl Patch,57
2025-09-01,Hospital E,M017,Fentanyl Patch,98
2025-09-08,Hospital E,M017,Fentanyl Patch,120
2025-09-15,Hospital E,M017,Fentanyl Patch,96
2025-09-22,Hospital E,M017,Fentanyl Patch,28
2025-09-29,Hospital E,M017,Fentanyl Patch,69
2025-10-06,Hospital E,M017,Fentanyl Patch,60
2025-10-13,Hospital E,M017,Fentanyl Patch,91
2025-10-20,Hospital E,M017,Fentanyl Patch,161
2025-10-27,Hospital E,M017,Fentanyl Patch,155
2025-11-03,Hospital E,M017,Fentanyl Patch,90
2025-11-10,Hospital E,M017,Fentanyl Patch,44
2025-11-17,Hospital E,M017,Fentanyl Patch,13
2025-11-24,Hospital E,M017,Fentanyl Patch,69
2025-12-01,Hospital E,M017,Fentanyl Patch,40
2025-12-08,Hospital E,M017,Fentanyl Patch,6
2025-12-15,Hospital E,M017,Fentanyl Patch,60
2025-12-22,Hospital E,M017,Fentanyl Patch,74
2025-12-29,Hospital E,M017,Fentanyl Patch,46
2026-01-05,Hospital E,M017,Fentanyl Patch,34
2026-01-12,Hospital E,M017,Fentanyl Patch,63
2026-01-19,Hospital E,M017,Fentanyl Patch,48
2026-01-26,Hospital E,M017,Fentanyl Patch,71
2026-02-02,Hospital E,M017,Fentanyl Patch,27
2026-02-09,Hospital E,M017,Fentanyl Patch,49
2026-02-16,Hospital E,M017,Fentanyl Patch,68
2026-02-23,Hospital E,M017,Fentanyl Patch,28
2026-03-02,Hospital E,M017,Fentanyl Patch,43
2026-03-09,Hospital E,M017,Fentanyl Patch,139
