Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital E,M018,Clopidogrel 75mg,113
2025-01-13,Hospital E,M018,Clopidogrel 75mg,83
2025-01-20,Hospital E,M018,Clopidogrel 75mg,88
2025-01-27,Hospital E,M018,Clopidogrel 75mg,81
2025-02-03,Hospital E,M018,Clopidogrel 75mg,74
2025-02-10,Hospital E,M018,Clopidogrel 75mg,80
2025-02-17,Hospital E,M018,Clopidogrel 75mg,90
2025-02-24,Hospital E,M018,Clopidogrel 75mg,95
2025-03-03,Hospital E,M018,Clopidogrel 75mg,89
2025-03-10,Hospital E,M018,Clopidogrel 75mg,106
2025-03-17,Hospital E,M018,Clopidogrel 75mg,48
2025-03-24,Hospital E,M018,Clopidogrel 75mg,16
2025-03-31,Hospital E,M018,Clopidogrel 75mg,55
2025-04-07,Hospital E,M018,Clopidogrel 75mg,2
2025-04-14,Hospital E,M018,Clopidogrel 75mg,13
2025-04-21,Hospital E,M018,Clopidogrel 75mg,1
2025-04-28,Hospital E,M018,Clopidogrel 75mg,54
2025-05-05,Hospital E,M018,Clopidogrel 75mg,35
2025-05-12,Hospital E,M018,Clopidogrel 75mg,21
2025-05-19,Hospital E,M018,Clopidogrel 75mg,13
2025-05-26,Hospital E,M018,Clopidogrel 75mg,12
2025-06-02,Hospital E,M018,Clopidogrel 75mg,4
2025-06-09,Hospital E,M018,Clopidogrel 75mg,10
2025-06-16,Hospital E,M018,Clopidogrel 75mg,8
2025-06-23,Hospital E,M018,Clopidogrel 75mg,9
2025-06-30,Hospital E,M018,Clopidogrel 75mg,14
2025-07-07,Hospital E,M018,Clopidogrel 75mg,26
2025-07-14,Hospital E,M018,Clopidogrel 75mg,35
2025-07-21,Hospital E,M018,Clopidogrel 75mg,45
2025-07-28,Hospital E,M018,Clopidogrel 75mg,75
2025-08-04,Hospital E,M018,Clopidogrel 75mg,68
2025-08-11,Hospital E,M018,Clopidogrel 75mg,53
2025-08-18,Hospital E,M018,Clopidogrel 75mg,73
2025-08-25,Hospital E,M018,Clopidogrel 75mg,83
2025-09-01,Hospital E,M018,Clopidogrel 75mg,88
2025-09-08,Hospital E,M018,Clopidogrel 75mg,96
2025-09-15,Hospital E,M018,Clopidogrel 75mg,100
2025-09-22,Hospital E,M018,Clopidogrel 75mg,45
2025-09-29,Hospital E,M018,Clopidogrel 75mg,28
2025-10-06,Hospital E,M018,Clopidogrel 75mg,51
2025-10-13,Hospital E,M018,Clopidogrel 75mg,50
2025-10-20,Hospital E,M018,Clopidogrel 75mg,57
2025-10-27,Hospital E,M018,Clopidogrel 75mg,69
2025-11-03,Hospital E,M018,Clopidogrel 75mg,95
2025-11-10,Hospital E,M018,Clopidogrel 75mg,76
2025-11-17,Hospital E,M018,Clopidogrel 75mg,68
2025-11-24,Hospital E,M018,Clopidogrel 75mg,17
2025-12-01,Hospital E,M018,Clopidogrel 75mg,21
2025-12-08,Hospital E,M018,Clopidogrel 75mg,20
2025-12-15,Hospital E,M018,Clopidogrel 75mg,17
2025-12-22,Hospital E,M018,Clopidogrel 75mg,35
2025-12-29,Hospital E,M018,Clopidogrel 75mg,24
2026-01-05,Hospital E,M018,Clopidogrel 75mg,19
2026-01-12,Hospital E,M018,Clopidogrel 75mg,23
2026-01-19,Hospital E,M018,Clopidogrel 75mg,45
2026-01-26,Hospital E,M018,Clopidogrel 75mg,59
2026-02-02,Hospital E,M018,Clopidogrel 75mg,50
2026-02-09,Hospital E,M018,Clopidogrel 75mg,34
2026-02-16,Hospital E,M018,Clopidogrel 75mg,37
2026-02-23,Hospital E,M018,Clopidogrel 75mg,48
2026-03-02,Hospital E,M018,Clopidogrel 75mg,48
2026-03-09,Hospital E,M018,Clopidogrel 75mg,71
