Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital E,M019,Glipizide 5mg,18
2025-01-13,Hospital E,M019,Glipizide 5mg,8
2025-01-20,Hospital E,M019,Glipizide 5mg,0
2025-01-27,Hospital E,M019,Glipizide 5mg,54
2025-02-03,Hospital E,M019,Glipizide 5mg,67
2025-02-10,Hospital E,M019,Glipizide 5mg,75
2025-02-17,Hospital E,M019,Glipizide 5mg,100
2025-02-24,Hospital E,M019,Glipizide 5mg,105
2025-03-03,Hospital E,M019,Glipizide 5mg,127
2025-03-10,Hospital E,M019,Glipizide 5mg,137
2025-03-17,Hospital E,M019,Glipizide 5mg,79
2025-03-24,Hospital E,M019,Glipizide 5mg,40
2025-03-31,Hospital E,M019,Glipizide 5mg,11
2025-04-07,Hospital E,M019,Glipizide 5mg,0
2025-04-14,Hospital E,M019,Glipizide 5mg,0
2025-04-21,Hospital E,M019,Glipizide 5mg,0
2025-04-28,Hospital E,M019,Glipizide 5mg,0
2025-05-05,Hospital E,M019,Glipizide 5mg,33
2025-05-12,Hospital E,M019,Glipizide 5mg,8
2025-05-19,Hospital E,M019,Glipizide 5mg,0
2025-05-26,Hospital E,M019,Glipizide 5mg,0
2025-06-02,Hospital E,M019,Glipizide 5mg,1
2025-06-09,Hospital E,M019,Glipizide 5mg,4
2025-06-16,Hospital E,M019,Glipizide 5mg,4
2025-06-23,Hospital E,M019,Glipizide 5mg,8
2025-06-30,Hospital E,M019,Glipizide 5mg,0
2025-07-07,Hospital E,M019,Glipizide 5mg,24
2025-07-14,Hospital E,M019,Glipizide 5mg,14
2025-07-21,Hospital E,M019,Glipizide 5mg,0
2025-07-28,Hospital E,M019,Glipizide 5mg,13
2025-08-04,Hospital E,M019,Glipizide 5mg,21
2025-08-11,Hospital E,M019,Glipizide 5mg,21
2025-08-18,Hospital E,M019,Glipizide 5mg,16
2025-08-25,Hospital E,M019,Glipizide 5mg,0
2025-09-01,Hospital E,M019,Glipizide 5mg,0
2025-09-08,Hospital E,M019,Glipizide 5mg,0
2025-09-15,Hospital E,M019,Glipizide 5mg,2
2025-09-22,Hospital E,M019,Glipizide 5mg,36
2025-09-29,Hospital E,M019,Glipizide 5mg,35
2025-10-06,Hospital E,M019,Glipizide 5mg,27
2025-10-13,Hospital E,M019,Glipizide 5mg,50
2025-10-20,Hospital E,M019,Glipizide 5mg,70
2025-10-27,Hospital E,M019,Glipizide 5mg,89
2025-11-03,Hospital E,M019,Glipizide 5mg,72
2025-11-10,Hospital E,M019,Glipizide 5mg,43
2025-11-17,Hospital E,M019,Glipizide 5mg,52
2025-11-24,Hospital E,M019,Glipizide 5mg,44
2025-12-01,Hospital E,M019,Glipizide 5mg,27
2025-12-08,Hospital E,M019,Glipizide 5mg,42
2025-12-15,Hospital E,M019,Glipizide 5mg,31
2025-12-22,Hospital E,M019,Glipizide 5mg,16
2025-12-29,Hospital E,M019,Glipizide 5mg,13
2026-01-05,Hospital E,M019,Glipizide 5mg,21
2026-01-12,Hospital E,M019,Glipizide 5mg,0
2026-01-19,Hospital E,M019,Glipizide 5mg,0
2026-01-26,Hospital E,M019,Glipizide 5mg,17
2026-02-02,Hospital E,M019,Glipizide 5mg,0
2026-02-09,Hospital E,M019,Glipizide 5mg,0
2026-02-16,Hospital E,M019,Glipizide 5mg,0
2026-02-23,Hospital E,M019,Glipizide 5mg,0
2026-03-02,Hospital E,M019,Glipizide 5mg,0
2026-03-09,Hospital E,M019,Glipizide 5mg,0
