Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital E,M020,Simvastatin 20mg,55
2025-01-13,Hospital E,M020,Simvastatin 20mg,43
2025-01-20,Hospital E,M020,Simvastatin 20mg,43
2025-01-27,Hospital E,M020,Simvastatin 20mg,37
2025-02-03,Hospital E,M020,Simvastatin 20mg,50
2025-02-10,Hospital E,M020,Simvastatin 20mg,74
2025-02-17,Hospital E,M020,Simvastatin 20mg,94
2025-02-24,Hospital E,M020,Simvastatin 20mg,112
2025-03-03,Hospital E,M020,Simvastatin 20mg,47
2025-03-10,Hospital E,M020,Simvastatin 20mg,53
2025-03-17,Hospital E,M020,Simvastatin 20mg,26
2025-03-24,Hospital E,M020,Simvastatin 20mg,6
2025-03-31,Hospital E,M020,Simvastatin 20mg,25
2025-04-07,Hospital E,M020,Simvastatin 20mg,0
2025-04-14,Hospital E,M020,Simvastatin 20mg,37
2025-04-21,Hospital E,M020,Simvastatin 20mg,54
2025-04-28,Hospital E,M020,Simvastatin 20mg,44
2025-05-05,Hospital E,M020,Simvastatin 20mg,58
2025-05-12,Hospital E,M020,Simvastatin 20mg,54
2025-05-19,Hospital E,M020,Simvastatin 20mg,15
2025-05-26,Hospital E,M020,Simvastatin 20mg,23
2025-06-02,Hospital E,M020,Simvastatin 20mg,7
2025-06-09,Hospital E,M020,Simvastatin 20mg,4
2025-06-16,Hospital E,M020,Simvastatin 20mg,0
2025-06-23,Hospital E,M020,Simvastatin 20mg,9
2025-06-30,Hospital E,M020,Simvastatin 20mg,9
2025-07-07,Hospital E,M020,Simvastatin 20mg,26
2025-07-14,Hospital E,M020,Simvastatin 20mg,10
2025-07-21,Hospital E,M020,Simvastatin 20mg,34
2025-07-28,Hospital E,M020,Simvastatin 20mg,54
2025-08-04,Hospital E,M020,Simvastatin 20mg,38
2025-08-11,Hospital E,M020,Simvastatin 20mg,16
2025-08-18,Hospital E,M020,Simvastatin 20mg,15
2025-08-25,Hospital E,M020,Simvastatin 20mg,43
2025-09-01,Hospital E,M020,Simvastatin 20mg,13
2025-09-08,Hospital E,M020,Simvastatin 20mg,31
2025-09-15,Hospital E,M020,Simvastatin 20mg,46
2025-09-22,Hospital E,M020,Simvastatin 20mg,45
2025-09-29,Hospital E,M020,Simvastatin 20mg,29
2025-10-06,Hospital E,M020,Simvastatin 20mg,41
2025-10-13,Hospital E,M020,Simvastatin 20mg,2
2025-10-20,Hospital E,M020,Simvastatin 20mg,17
2025-10-27,Hospital E,M020,Simvastatin 20mg,49
2025-11-03,Hospital E,M020,Simvastatin 20mg,60
2025-11-10,Hospital E,M020,Simvastatin 20mg,71
2025-11-17,Hospital E,M020,Simvastatin 20mg,48
2025-11-24,Hospital E,M020,Simvastatin 20mg,39
2025-12-01,Hospital E,M020,Simvastatin 20mg,58
2025-12-08,Hospital E,M020,Simvastatin 20mg,66
2025-12-15,Hospital E,M020,Simvastatin 20mg,56
2025-12-22,Hospital E,M020,Simvastatin 20mg,37
2025-12-29,Hospital E,M020,Simvastatin 20mg,26
2026-01-05,Hospital E,M020,Simvastatin 20mg,26
2026-01-12,Hospital E,M020,Simvastatin 20mg,32
2026-01-19,Hospital E,M020,Simvastatin 20mg,26
2026-01-26,Hospital E,M020,Simvastatin 20mg,58
2026-02-02,Hospital E,M020,Simvastatin 20mg,21
2026-02-09,Hospital E,M020,Simvastatin 20mg,28
2026-02-16,Hospital E,M020,Simvastatin 20mg,35
2026-02-23,Hospital E,M020,Simvastatin 20mg,34
2026-03-02,Hospital E,M020,Simvastatin 20mg,51
2026-03-09,Hospital E,M020,Simvastatin 20mg,59
